title,man,description
А.Т.10,MERCK (DEU),р-р д/приема внутрь 1 мг/1 мл: фл. 15 мл с капельницей
АБАКТАЛ®,LEK d.d. (SLO),концентрат д/пригот. р-ра д/в/в введения 400 мг/5 мл: амп. 10 шт.
АБАКТАЛ®,LEK d.d. (SLO),"таб., покр. оболочкой, 400 мг: 10 шт."
АБИЛИФАЙ,BRISTOL-MYERS SQUIBB  Manufacturing Company (USA),таб. 5 мг: 28 шт.
АБИЛИФАЙ,BRISTOL-MYERS SQUIBB  Manufacturing Company (USA),таб. 10 мг: 28 шт.
АБИЛИФАЙ,BRISTOL-MYERS SQUIBB  Manufacturing Company (USA),таб. 15 мг: 28 шт.
АБИЛИФАЙ,BRISTOL-MYERS SQUIBB  Manufacturing Company (USA),таб. 30 мг: 28 шт.
АБИЛИФАЙ,BRISTOL-MYERS SQUIBB  Manufacturing Company (USA),таб. 20 мг: 28 шт.
АБИСИЛ®,Инитиум-Фарм (RUS),раствор для местного и наружного применения (масляный)
АБИТАКСЕЛ,Laboratorius GEMEPE/Laboratorio TUTEUR S.A.C.I.F.I.A. (ARG),конц. д/пригот. р-ра д/инф. 30 мг/5 мл: фл. 1 шт.
АБИТАКСЕЛ,Laboratorius GEMEPE/Laboratorio TUTEUR S.A.C.I.F.I.A. (ARG),конц. д/пригот. р-ра д/инф. 100 мг/16.7 мл: фл. 1 шт.
АБИТАКСЕЛ,Laboratorius GEMEPE/Laboratorio TUTEUR S.A.C.I.F.I.A. (ARG),конц. д/пригот. р-ра д/инф. 150 мг/25 мл: фл. 1 шт.
АБИТАКСЕЛ,Laboratorius GEMEPE/Laboratorio TUTEUR S.A.C.I.F.I.A. (ARG),конц. д/пригот. р-ра д/инф. 300 мг/50 мл: фл. 1 шт.
АВАНДАМЕТ,GLAXO WELLCOME (SPN),"таб., покр. пленочной обол. 1 мг+500 мг: 14, 28, 56 или 112 шт."
АВАНДАМЕТ,ГлаксоСмитКляйн Трейдинг (RUS),"таб., покр. пленочной обол. 1 мг+500 мг: 14, 28, 56 или 112 шт."
АВАНДАМЕТ,GLAXO WELLCOME (SPN),"таб., покр. пленочной обол. 2 мг+500 мг: 14, 28 , 56 или 112 шт."
АВАНДАМЕТ,ГлаксоСмитКляйн Трейдинг (RUS),"таб., покр. пленочной обол. 2 мг+500 мг: 14, 28 , 56 или 112 шт."
АВАНДАМЕТ,GLAXO WELLCOME (SPN),"таб., покр. пленочной обол. 2 мг+1000 мг: 14, 28, 56 или 112 шт."
АВАНДАМЕТ,ГлаксоСмитКляйн Трейдинг (RUS),"таб., покр. пленочной обол. 2 мг+1000 мг: 14, 28, 56 или 112 шт."
АВАНДАМЕТ,GLAXO WELLCOME (SPN),"таб., покр. пленочной обол. 4 мг+1000 мг: 14, 28, 56 или 112 шт."
АВАНДАМЕТ,ГлаксоСмитКляйн Трейдинг (RUS),"таб., покр. пленочной обол. 4 мг+1000 мг: 14, 28, 56 или 112 шт."
АВАНДИЯ,GLAXO WELLCOME PRODUCTION (FRA),"таб., покр. пленочной оболочкой, 2 мг: 28 шт."
АВАНДИЯ,GLAXO WELLCOME PRODUCTION (FRA),"таб., покр. пленочной оболочкой, 4 мг: 28 шт."
АВАНДИЯ,GLAXO WELLCOME PRODUCTION (FRA),"таб., покр. пленочной оболочкой, 8 мг: 28 шт."
АВАСТИН,F.Hoffmann-La Roche (CHE),концентрат д/пригот. р-ра д/инф. 100 мг/4 мл: фл. 1 шт.
АВАСТИН,GENENTECH (USA),концентрат д/пригот. р-ра д/инф. 100 мг/4 мл: фл. 1 шт.
АВАСТИН,F.Hoffmann-La Roche (CHE),концентрат д/пригот. р-ра д/инф. 400 мг/16 мл: фл. 1 шт.
АВАСТИН,GENENTECH (USA),концентрат д/пригот. р-ра д/инф. 400 мг/16 мл: фл. 1 шт.
АВЕЛОКС®,BAYER HealthCare (DEU),"таб., покр. оболочкой, 400 мг: 5, 7 или 10 шт."
АВЕЛОКС®,BAYER HealthCare (DEU),р-р д/инф. 400 мг/250 мл: фл. 1 шт.
АВЕЛОКС®,BAYER HealthCare (DEU),р-р д/инф. 400 мг/250 мл: пакеты 12 шт.
АВОДАРТ,ГлаксоСмитКляйн Трейдинг (RUS),капс. 500 мкг: 30 или 90 шт.
АВОДАРТ,CARDINAL HEALTH FRANCE 404 (FRA),капс. 500 мкг: 30 или 90 шт.
АВОНЕКС,BIOGEN AYDEC FRANS (FRA),лиофилизат д/пригот. р-ра д/в/м введения 30 мкг: фл. в компл. с растворителем 4 шт.
АВОНЕКС,BIOGEN AYDEC (NID),лиофилизат д/пригот. р-ра д/в/м введения 30 мкг: фл. в компл. с растворителем 4 шт.
АВОНЕКС,Vetter Pharma-Fertigung (DEU),р-р д/в/м введения 30 мкг/0.5 мл: шприцы в компл. с иглой
АВОНЕКС,BIOGEN AYDEC (NID),р-р д/в/м введения 30 мкг/0.5 мл: шприцы в компл. с иглой
АВОНЕКС,BEN VENUE Laboratories (USA),лиофилизат д/пригот. р-ра д/в/м введения 30 мкг: фл. в компл. с растворителем 4 шт.
АВОНЕКС,BIOGEN AYDEC (GBR),лиофилизат д/пригот. р-ра д/в/м введения 30 мкг: фл. в компл. с растворителем 4 шт.
АГАПУРИН,ZENTIVA (SLR),"таб., покр. оболочкой, 100 мг: 60 шт."
АГАПУРИН,ZENTIVA (SLR),р-р д/инъекц. 100 мг/5 мл: амп. 5 шт.
АГАПУРИН РЕТАРД,ZENTIVA (SLR),"таб. пролонгир. действия, покр. оболочкой, 600 мг: 20 шт."
АГАПУРИН РЕТАРД,ZENTIVA (SLR),"таб. пролонгир. действия, покр. оболочкой, 400 мг: 20, 50 или 100 шт."
АГЕМФИЛ А,ГЕМАТОЛОГИЧЕСКИЙ НАУЧНЫЙ ЦЕНТР РАМН (RUS),лиофилизат д/пригот. р-ра д/инф. 250 МЕ: фл. 1 шт.
АГЕН,ZENTIVA (CS),таб. 5 мг: 10 или 30 шт.
АГЕН,ZENTIVA (CS),таб. 10 мг: 10 или 30 шт.
АГЕНЕРАЗА,GLAXO WELLCOME OPERATIONS (GBR),капс. 50 мг: 240 или 480 шт.
АГЕНЕРАЗА,GLAXO WELLCOME OPERATIONS (GBR),капс. 150 мг: 240 или 480 шт.
АГЕНЕРАЗА,GlaxoSmithKline (CAN),р-р д/приема внутрь 75 мг/5 мл: фл. 240 мл
АГЕСТА,БИОХИМИК (RUS),таб. 10 мг: 2 шт.
АГЕСТА,БИОХИМИК (RUS),таб. 10 мг: 2 шт.
АГНУКАСТОН®,BIONORICA (DEU),"таб., покр. оболочкой: 30 или 60 шт."
АГРЕГАЛЬ,Щелковский Витаминный Завод (RUS),"таб., покр. пленочной обол., 75 мг: 14 или 28 шт."
АГРЕГАЛЬ,ФП ОБОЛЕНСКОЕ (RUS),"таб., покр. пленочной обол., 75 мг: 14 или 28 шт."
АГРЕНОКС®,BOEHRINGER INGELHEIM PHARMA (DEU),капс. с модифиц. высвобождением 25 мг+200 мг: 30 или 60 шт.
АГРЕНОКС®,BOEHRINGER INGELHEIM INTERNATIONAL (DEU),капс. с модифиц. высвобождением 25 мг+200 мг: 30 или 60 шт.
АГРИППАЛ S1,NOVARTIS VACCINES AND DIAGNOSTICS (ITA),сусп. д/в/м и п/к введения 0.5 мл/1 доза: шприцы с иглами 1 шт.
АДАЛАТ®,BAYER HealthCare (DEU),р-р д/инф. 5 мг/50 мл: фл. 1 шт. в компл. со шприцем и соединительн. трубкой
АДАЛАТ® СЛ,BAYER HealthCare (DEU),"таб. рапид-ретард, покр. оболочкой, 20 мг: 30 шт."
АДАМОН ЛОНГ 150,ASTA MEDICA (DEU),"капс. пролонгир. действия 150 мг: 10, 30 или 50 шт."
АДАМОН ЛОНГ 200,DANSK DROGE (DNK),"капс. пролонгир. действия 200 мг: 10, 30 или 50 шт."
АДАМОН ЛОНГ 200,ASTA MEDICA (DEU),"капс. пролонгир. действия 200 мг: 10, 30 или 50 шт."
АДАМОН ЛОНГ 50,ASTA MEDICA (DEU),"капс. пролонгир. действия 50 мг: 10, 30 или 50 шт."
АДАПТОЛ,OLAINFARM (LAT),таб. 500 мг: 10 или 20 шт.
АДВАНТАН,INTENDIS (DEU),◊ крем д/наружн. прим. 0.1%: тубы 15 г
АДВАНТАН,INTENDIS MANUFACTURING (ITA),◊ крем д/наружн. прим. 0.1%: тубы 15 г
АДВАНТАН,INTENDIS (DEU),◊ мазь д/наружн. прим. 0.1%: тубы 15 г или 50 г
АДВАНТАН,INTENDIS MANUFACTURING (ITA),◊ мазь д/наружн. прим. 0.1%: тубы 15 г или 50 г
АДВАНТАН,INTENDIS (DEU),◊ мазь д/наружн. прим. жирная 0.1%: тубы 15 г
АДВАНТАН,INTENDIS MANUFACTURING (ITA),◊ мазь д/наружн. прим. жирная 0.1%: тубы 15 г
АДВАНТАН,INTENDIS (DEU),◊ эмульсия д/наружн. прим. 0.1%: тубы 20 г
АДВАНТАН,INTENDIS MANUFACTURING (ITA),◊ эмульсия д/наружн. прим. 0.1%: тубы 20 г
АДВИЛ,WYETH S.p.A. APRILLIA (ITA),"◊ таб., покр. оболочкой, 200 мг: 10, 20 или 30 шт."
АДВИЛ,WHITEHALL (CAN),"◊ таб., покр. оболочкой, 200 мг: 10, 20 или 30 шт."
АДВИЛ,WYETH WHITEHALL EXPORT (AUT),"◊ таб., покр. пленочной обол., 400 мг: 2 шт."
АДВИЛ,WYETH LEDERLE (ITA),"◊ таб., покр. пленочной обол., 400 мг: 2 шт."
АДГЕЛОН®,ЭНДО-ФАРМ-А ПП (RUS),"◊ капли глазные: тюбик-капельн. 1.5 мл, фл. 5 мл"
АДГЕЛОН®,ЭНДО-ФАРМ-А ПП (RUS),"р-р д/внутрисуставных инъекций: амп. 2 мл, фл. 2 мл или 5 мл"
АДДАМЕЛЬ Н,FRESENIUS KABI NORGE (NOR),конц. д/пригот. р-ра д/инф.: амп. 10 мл 20 шт.
АДЕЛЬФАН-ЭЗИДРЕКС®,SANDOZ PRIVATE (IND),"таб. 100 мкг+10 мг+10 мг: 20, 30, 50 или 250 шт."
АДЕНОЗИНТРИФОСФАТ НАТРИЯ,БРЫНЦАЛОВ-А (RUS),р-р д/в/в введения 10 мг/1 мл: амп. 5 шт.
АДЕНОКОР,SANOFI WINTHROP INDUSTRIE (FRA),р-р д/инъекц. 6 мг/2 мл: фл. 6 шт.
АДЕПРЕСС,ВЕРОФАРМ (RUS),"таб., покр. оболочкой, 20 мг: 30 шт."
АДЖИКОЛД ХОТМИКС,AGIO PHARMACEUTICALS (IND),"◊ порошок д/пригот. р-ра д/приема внутрь (апельсиновый) 750 мг+10 мг+60 мг/5 г: пак. 5, 10 или 50 шт."
АДЖИСЕПТ,AGIO PHARMACEUTICALS (IND),"◊ таб. д/рассасывания (лимонные, ананасовые, апельсиновые): 12 шт."
АДЖИСЕПТ,LIMAC HEALTH CARE (IND),"◊ таб. д/рассасывания (лимонные, ананасовые, апельсиновые): 12 шт."
