title,man,description
И.Г. ВЕНА Н.И.В.,KEDRION (ITA),р-р д/в/в введения 1 г/20 мл: фл. 1 шт.
И.Г. ВЕНА Н.И.В.,KEDRION (ITA),р-р д/в/в введения 2.5 г/50 мл: фл. 1 шт. в компл. с капельницей д/в/в инф.
И.Г. ВЕНА Н.И.В.,KEDRION (ITA),р-р д/в/в введения 5 г/100 мл: фл. 1 шт. в компл. с капельницей д/в/в инф.
И.Г. ВЕНА Н.И.В.,KEDRION (ITA),р-р д/в/в введения 10 г/200 мл: фл. 1 шт. в компл. с капельницей д/в/в инф.
ИБАЛГИН,ZENTIVA (CS),◊ крем д/наружн. прим. 5%: тубы 30 г или 50 г
ИБЕРОГАСТ,BIONORICA (DEU),капли для приема внутрь 20 мл
ИБУКЛИН®,DR. REDDY`S LABORATORIES (IND),таб. диспергируемые д/детей 125 мг+100 мг: 20 или 200 шт.
ИБУКЛИН®,DR. REDDY`S LABORATORIES (IND),"таб., покр. оболочкой, 325 мг+400 мг: 20 или 200 шт."
ИБУПРОМ,US PHARMACIA (POL),"◊ таб., покр. оболочкой, 200 мг: 6 шт."
ИБУПРОМ МАКС,US PHARMACIA (POL),"◊ таб., покр. оболочкой, 400 мг: 6 шт."
ИБУПРОФЕН,Химико-фармацевтический комбинат АКРИХИН (RUS),"◊таб., покр. оболочкой, 200 мг: 100 шт."
ИБУПРОФЕН,Pharmaceutical Works Polfa in Pabianice (POL),"◊ таб., покр. оболочкой, 200 мг: 100 шт."
ИБУПРОФЕН,БЕЛМЕДПРЕПАРАТЫ (BLR),"◊ таб., покр. оболочкой, 200 мг: 50 шт."
ИБУПРОФЕН,ТАТХИМФАРМПРЕПАРАТЫ (RUS),"◊ таб., покр. оболочкой, 200 мг: 20 шт."
ИБУПРОФЕН,БИОХИМИК (RUS),◊ мазь д/наружн. прим. 5%: туба 20 г
ИБУПРОФЕН,БИОХИМИК (RUS),"◊ таб., покр. оболочкой, 200 мг: 20 шт."
ИБУПРОФЕН,МОСХИМФАРМПРЕПАРАТЫ им. Н.А.Семашко ОАО (RUS),"◊ таб., покр. оболочкой, 200 мг: 20 шт."
ИБУПРОФЕН,ВАЛЕНТА ФАРМАЦЕВТИКА (RUS),"◊ таб., покр. оболочкой, 200 мг: 20 шт."
ИБУПРОФЕН,МАРБИОФАРМ (RUS),"◊ таб., покр. сахарной обол., 200 мг: 50 шт."
