title,man,description
ЗАВЕДОС®,PHARMACIA ITALIA (ITA),лиофилизат д/пригот. р-ра д/в/в введения 5 мг: фл. 1 шт.
ЗАВЕДОС®,PHARMACIA ITALIA (ITA),капс. 5 мг: 1 шт.
ЗАВЕДОС®,PHARMACIA ITALIA (ITA),капс. 10 мг: 1 шт.
ЗАВЕДОС®,PHARMACIA ITALIA (ITA),капс. 25 мг: 1 шт.
ЗАДАКСИН,SciClone Pharmaceuticals International (CHI),лиофилизат д/пригот. р-ра д/п/к введения 1.6 мг: фл. в компл. с растворителем
ЗАДАКСИН,PATHEON ITALY (ITA),лиофилизат д/пригот. р-ра д/п/к введения 1.6 мг: фл. в компл. с растворителем
ЗАДИТЕН,SANDOZ PRIVATE (IND),таб. 1 мг: 20 или 30 шт.
ЗАДИТЕН,KRKA (SLO),таб. 1 мг: 30 шт.
ЗАДИТЕН®,NOVARTIS PHARMA (CHE),капли глазные 250 мкг/1 мл: фл-капельн. 5 мл
ЗАДИТЕН®,EXCELVISION (FRA),капли глазные 250 мкг/1 мл: фл-капельн. 5 мл
ЗАЛДИАР,GRÜNENTHAL (DEU),"таб., покр. оболочкой, 37.5 мг+325 мг: 10, 20, 30 или 50 шт."
ЗАНОЦИН,RANBAXY LABORATORIES (IND),офлоксацин - 200 мг : 10 шт.
ЗАНОЦИН,RANBAXY LABORATORIES (IND),р-р д/инф. 200 мг/100 мл: фл. 1 шт.
ЗАНОЦИН,ALCON LABORATORIOS S.A. DE C.V. (MEK),р-р д/инф. 200 мг/100 мл: фл. 1 шт.
ЗАНОЦИН,RANBAXY LABORATORIES (IND),"таб., покр. пленочной оболочкой, 200 мг: 10 шт."
ЗАНОЦИН ОД,RANBAXY LABORATORIES (IND),офлоксацин - 400 мг : 10 шт
ЗАНОЦИН ОД,RANBAXY LABORATORIES (IND),"таб. пролонгир. действия, покр. оболочкой, 800 мг: 5 или 10 шт."
ЗАНТАК®,GlaxoSmithKline (ITA),р-р д/инъекц. 50 мг/2 мл: амп. 5 шт.
ЗАНТАК®,GLAXO WELLCOME PRODUCTION (FRA),"таб. шипучие 150 мг: 6, 10, 12, 15 или 20 шт."
ЗАНТАК®,GLAXO WELLCOME PRODUCTION (FRA),"таб. шипучие 300 мг: 6, 10, 12, 15 или 20 шт."
ЗАНТАК®,GlaxoSmithKline Pharmaceuticals (POL),"таб., покр. оболочкой, 150 мг: 20 шт."
ЗАНТАК®,GlaxoSmithKline Pharmaceuticals (POL),"таб., покр. оболочкой, 300 мг: 10 шт."
