title,man,description
БАГОМЕТ®,QUIMICA MONTPELLIER (ARG),"таб., покр. оболочкой, 500 мг: 10, 30, 100, 120 или 1000 шт."
БАГОМЕТ®,BAGO GROUP COMPANY (ARG),"таб., покр. оболочкой, 500 мг: 10, 30, 100, 120 или 1000 шт."
БАГОМЕТ®,QUIMICA MONTPELLIER (ARG),"таб. пролонгир. действия, покр. оболочкой, 850 мг: 10, 30, 100, 120 или 1000 шт."
БАГОМЕТ®,BAGO GROUP COMPANY (ARG),"таб. пролонгир. действия, покр. оболочкой, 850 мг: 10, 30, 100, 120 или 1000 шт."
БАГОПРИЛ®,Laboratorios BAGO (ARG),"таб. 2.5 мг: 30, 100 или 1000 шт."
БАГОПРИЛ®,Laboratorios BAGO (ARG),"таб. 10 мг: 30, 100 или 1000 шт."
БАГОПРИЛ®,Laboratorios BAGO (ARG),"таб. 20 мг: 30, 100 или 1000 шт."
БАГОПРИЛ®,Laboratorios BAGO (ARG),"таб. 5 мг: 30, 100 или 1000 шт."
БАГОТИРОКС,QUIMICA MONTPELLIER (ARG),"таб. 50 мкг: 50, 100 или 1000 шт."
БАГОТИРОКС,BAGO GROUP COMPANY (ARG),"таб. 50 мкг: 50, 100 или 1000 шт."
БАГОТИРОКС,QUIMICA MONTPELLIER (ARG),"таб. 100 мкг: 50, 100 или 1000 шт."
БАГОТИРОКС,BAGO GROUP COMPANY (ARG),"таб. 100 мкг: 50, 100 или 1000 шт."
БАГОТИРОКС,QUIMICA MONTPELLIER (ARG),"таб. 150 мкг: 50, 100 или 1000 шт."
БАГОТИРОКС,BAGO GROUP COMPANY (ARG),"таб. 150 мкг: 50, 100 или 1000 шт."
БАГУЛЬНИКА БОЛОТНОГО ПОБЕГИ,ЗДОРОВЬЕ ФИРМА (RUS),◊ сырье растительное измельченное: пачка 35 г
БАГУЛЬНИКА БОЛОТНОГО ПОБЕГИ,ЗДОРОВЬЕ ФИРМА (RUS),◊ сырье растительное - порошок 1.5 г: фильтр-пакеты 20 шт.
БАГУЛЬНИКА БОЛОТНОГО ПОБЕГИ,ФИТОФАРМ ПКФ (RUS),◊ сырье растительное измельченное: пачка 35 г
БАГУЛЬНИКА БОЛОТНОГО ПОБЕГИ,КРАСНОГОРСКЛЕКСРЕДСТВА (RUS),◊ сырье растительное измельченное: пачка 35 г
БАГУЛЬНИКА БОЛОТНОГО ПОБЕГИ,Ст.-МЕДИФАРМ (RUS),◊ сырье растительное измельченное: пачка 30 г
