title,man,description
L-АСПАРАГИНАЗА,ГНЦ ПО АНТИБИОТИКАМ (RUS),лиофилизат д/пригот. р-ра д/инъекц. 10 тыс.МЕ: фл. 1 шт.
L-ТИРОКСИН,СКОПИНСКИЙ ФАРМ.ЗАВОД (RUS),таб. 100 мкг: 50 или 100 шт.
L-ТИРОКСИН,СКОПИНСКИЙ ФАРМ.ЗАВОД (RUS),таб. 50 мкг: 50 или 100 шт.
L-ТИРОКСИН,СКОПИНСКИЙ ФАРМ.ЗАВОД (RUS),таб. 25 мкг: 50 или 100 шт.
L-ТИРОКСИН 100 БЕРЛИН-ХЕМИ,BERLIN-CHEMIE AG/MENARINI GROUP (DEU),"таб. 100 мкг: 25, 50 или 100 шт."
L-ТИРОКСИН 125 БЕРЛИН-ХЕМИ,BERLIN-CHEMIE AG/MENARINI GROUP (DEU),"таб. 125 мкг: 25, 50 или 100 шт."
L-ТИРОКСИН 150 БЕРЛИН-ХЕМИ,BERLIN-CHEMIE AG/MENARINI GROUP (DEU),"таб. 150 мкг: 25, 50 или 100 шт."
L-ТИРОКСИН 50 БЕРЛИН-ХЕМИ,BERLIN-CHEMIE AG/MENARINI GROUP (DEU),"таб. 50 мкг: 25, 50 или 100 шт."
L-ТИРОКСИН 75 БЕРЛИН-ХЕМИ,BERLIN-CHEMIE AG/MENARINI GROUP (DEU),"таб. 75 мкг: 25, 50 или 100 шт."
L-ТИРОКСИН-АКРИ®,Химико-фармацевтический комбинат АКРИХИН (RUS),таб. 100 мкг: 50 или 100 шт.
L-ТИРОКСИН-ФАРМАК,ФАРМАК (UKR),таб. 100 мкг: 50 или 100 шт.
L-ТИРОКСИН-ФАРМАК,ФАРМАК (UKR),таб. 50 мкг: 50 или 100 шт.
L-ТИРОКСИН-ФАРМАК,ФАРМАК (UKR),таб. 25 мкг: 50 или 100 шт.
