title,man,description
В-ВИТАКАПС,МИНСКИНТЕРКАПС УП (BLR),◊ капс.: 20 шт.
ВАГИНОРМ-С®,ARTESAN PHARMA (DEU),◊ таб. вагинальные 250 мг: 6 шт.
ВАГИНОРМ-С®,POLICHEM (LUX),◊ таб. вагинальные 250 мг: 6 шт.
ВАГОТИЛ,Pharmaceutical Works Polfa in Pabianice (POL),р-р д/местн. прим. 36%: фл. 50 г
ВАЗАПРОСТАН®,SCHWARZ PHARMA (DEU),лиофилизат д/пригот. р-ра д/инф. 20 мкг: амп. 10 шт.
ВАЗАПРОСТАН®,BAYER HealthCare (DEU),лиофилизат д/пригот. р-ра д/инф. 20 мкг: амп. 10 шт.
ВАЗАПРОСТАН®,SCHWARZ PHARMA (DEU),лиофилизат д/пригот. р-ра д/инф. 60 мкг: амп. 10 шт.
ВАЗАПРОСТАН®,BAYER HealthCare (DEU),лиофилизат д/пригот. р-ра д/инф. 60 мкг: амп. 10 шт.
ВАЗЕЛИНОВОЕ МАСЛО,ЭКОЛАБ (RUS),◊ масло д/приема внутрь 25 мл: фл.
ВАЗЕЛИНОВОЕ МАСЛО,ЯРОСЛАВСКАЯ ФАРМФАБРИКА (RUS),◊ масло д/приема внутрь 25 мл: фл.
ВАЗИЛИП,КРКА-РУС (RUS),"таб., покр. пленочной оболочкой, 10 мг: 14 или 28 шт."
ВАЗИЛИП,КРКА-РУС (RUS),"таб., покр. пленочной оболочкой, 20 мг: 14 или 28 шт."
ВАЗИЛИП,КРКА-РУС (RUS),"таб., покр. пленочной оболочкой, 40 мг: 14 или 28 шт."
ВАЗИЛИП®,KRKA (SLO),"таб., покр. оболочкой, 10 мг: 14 или 28 шт."
ВАЗИЛИП®,KRKA (SLO),"таб., покр. оболочкой, 20 мг: 14 или 28 шт."
ВАЗИЛИП®,KRKA (SLO),"таб., покр. оболочкой, 40 мг: 14 или 28 шт."
ВАЗОБРАЛ,CHIESI (FRA),таб. 4 мг+40 мг: 10 или 30 шт.
ВАЗОБРАЛ,CHIESI (FRA),р-р д/приема внутрь 1 мг+10 мг/1 мл: фл. 50 мл
ВАЗОКАРДИН,ZENTIVA (SLR),таб. 50 мг: 20 или 50 шт.
ВАЗОКАРДИН,ZENTIVA (SLR),таб. 100 мг: 20 или 50 шт.
ВАЗОКАРДИН РЕТАРД,ZENTIVA (SLR),"таб. пролонгир. действия 200 мг: 30, 60 или 100 шт."
ВАЗОКЕТ®,WEIMER PHARMA (DEU),таб. 600 мг: 30 шт.
ВАЗОКЕТ®,STRAGEN PHARMA (CHE),таб. 600 мг: 30 шт.
ВАЗОНИТ®,SCHWARZ PHARMA (DEU),"таб. пролонгир. действия, покр. пленочной оболочкой, 600 мг: 20 шт."
ВАЗОНИТ®,LANNACHER HEILMITTEL (AUT),"таб. пролонгир. действия, покр. пленочной оболочкой, 600 мг: 20 шт."
ВАЗОПРЕН,SOPHARMA (BLG),таб. 5 мг: 14 или 28 шт.
ВАЗОПРЕН,SOPHARMA (BLG),таб. 10 мг: 14 или 28 шт.
ВАЗОПРЕН,SOPHARMA (BLG),таб. 20 мг: 14 или 28 шт.
ВАЗОТЕНЗ®,ACTAVIS hf. (ISL),"таб., покр. оболочкой, 12.5 мг: 10, 14, 28 или 30 шт."
ВАЗОТЕНЗ®,ACTAVIS hf. (ISL),"таб., покр. оболочкой, 25 мг: 10, 14, 28 или 30 шт."
ВАЗОТЕНЗ®,ACTAVIS hf. (ISL),"таб., покр. оболочкой, 50 мг: 14 шт."
ВАЗОТЕНЗ®,ACTAVIS hf. (ISL),"таб., покр. оболочкой, 100 мг: 14 шт."
ВАЗОТЕНЗ® Н,ACTAVIS hf. (ISL),"таб., покр. пленочной оболочкой, 50 мг+12.5 мг: 14 шт."
ВАЗОТЕНЗ® Н,ACTAVIS GROUP hf. (ISL),"таб., покр. пленочной оболочкой, 50 мг+12.5 мг: 14 шт."
ВАЗОТЕНЗ® Н,ACTAVIS hf. (ISL),"таб., покр. пленочной оболочкой, 100 мг+25 мг: 14 шт."
ВАЗОТЕНЗ® Н,ACTAVIS GROUP hf. (ISL),"таб., покр. пленочной оболочкой, 100 мг+25 мг: 14 шт."
ВАКСИГРИП,SANOFI PASTEUR (FRA),сусп. д/в/м и п/к введения 0.5 мл/1 доза: амп. 20 шт.
ВАКСИГРИП,SANOFI PASTEUR (FRA),сусп. д/в/м и п/к введения 0.25 мл/1 детская доза: амп. 20 шт.
ВАКТА,MERCK SHARP & DOHME (NID),"сусп. д/инъекц. д/детей и подростков 25 ед./0.5 мл: фл. 10 шт., шприцы 1 шт."
ВАКТА,MERCK SHARP & DOHME (NID),"сусп. д/инъекц. д/взрослых 50 ед./1 мл: фл. 10 шт., шприцы 1 шт."
ВАКЦИНА ГЕПАТИТА В РЕКОМБИНАНТНАЯ ДРОЖЖЕВАЯ,КОМБИОТЕХ НПК (RUS),сусп. д/в/м введения 10 мкг/0.5 мл: амп. 10 шт.
ВАКЦИНА ГЕПАТИТА В РЕКОМБИНАНТНАЯ ДРОЖЖЕВАЯ,КОМБИОТЕХ НПК (RUS),сусп. д/в/м введения 20 мкг/1 мл: амп. 10 шт.
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,ВЕКТОР-МЕДИКА (RUS),лиофилизат д/пригот. р-ра д/п/к введения 1 доза: амп. 10 шт.
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,Вектор ВБ ГНЦ ФГУН Роспотребнадзора (RUS),лиофилизат д/пригот. р-ра д/п/к введения 1 доза: амп. 10 шт.
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,ВЕКТОР-МЕДИКА (RUS),лиофилизат д/пригот. р-ра д/п/к введения 2 дозы амп. 10 шт.
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,Вектор ВБ ГНЦ ФГУН Роспотребнадзора (RUS),лиофилизат д/пригот. р-ра д/п/к введения 2 дозы амп. 10 шт.
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,ВЕКТОР-МЕДИКА (RUS),лиофилизат д/пригот. р-ра д/п/к введения 5 доз амп. 10 шт.
ВАКЦИНА КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,Вектор ВБ ГНЦ ФГУН Роспотребнадзора (RUS),лиофилизат д/пригот. р-ра д/п/к введения 5 доз амп. 10 шт.
ВАКЦИНА ПАРОТИТНАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,ГУ Московское предприятие по производству бакпрепаратов (RUS),лиофилизат д/пригот. р-ра д/п/к введения 1 доза: амп. 10 шт.
ВАКЦИНА ПАРОТИТНАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,НПО МИКРОГЕН ФГУП (RUS),лиофилизат д/пригот. р-ра д/п/к введения 1 доза: амп. 10 шт.
ВАКЦИНА ПАРОТИТНАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,ГУ Московское предприятие по производству бакпрепаратов (RUS),лиофилизат д/пригот. р-ра д/п/к введения 2 дозы: амп. 10 шт.
ВАКЦИНА ПАРОТИТНАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,НПО МИКРОГЕН ФГУП (RUS),лиофилизат д/пригот. р-ра д/п/к введения 2 дозы: амп. 10 шт.
ВАКЦИНА ПАРОТИТНАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,ГУ Московское предприятие по производству бакпрепаратов (RUS),лиофилизат д/пригот. р-ра д/п/к введения 5 доз: амп. 10 шт.
ВАКЦИНА ПАРОТИТНАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ,НПО МИКРОГЕН ФГУП (RUS),лиофилизат д/пригот. р-ра д/п/к введения 5 доз: амп. 10 шт.
ВАКЦИНА ПАРОТИТНО-КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ СУХАЯ,ГУ Московское предприятие по производству бакпрепаратов (RUS),лиофилизат д/пригот. р-ра д/инъекц. 1 доза: амп. 10 шт.
ВАКЦИНА ПАРОТИТНО-КОРЕВАЯ КУЛЬТУРАЛЬНАЯ ЖИВАЯ СУХАЯ,НПО МИКРОГЕН ФГУП (RUS),лиофилизат д/пригот. р-ра д/инъекц. 1 доза: амп. 10 шт.
ВАКЦИНА ПРОТИВ ГЕПАТИТА В РЕКОМБИНАНТНАЯ,ВИРИОН НПО (RUS),сусп. д/в/м введения 10 мкг/0.5 мл: амп. 10 шт.
ВАКЦИНА ПРОТИВ ГЕПАТИТА В РЕКОМБИНАНТНАЯ,НПО МИКРОГЕН ФГУП (RUS),сусп. д/в/м введения 10 мкг/0.5 мл: амп. 10 шт.
ВАКЦИНА ПРОТИВ ГЕПАТИТА В РЕКОМБИНАНТНАЯ,ВИРИОН НПО (RUS),сусп. д/в/м введения 20 мкг/1 мл: амп. 10 шт.
ВАКЦИНА ПРОТИВ ГЕПАТИТА В РЕКОМБИНАНТНАЯ,НПО МИКРОГЕН ФГУП (RUS),сусп. д/в/м введения 20 мкг/1 мл: амп. 10 шт.
ВАКЦИНА ТУБЕРКУЛЕЗНАЯ (БЦЖ),МЕДГАМАЛ (филиал НИИ эпидемиологии и микробиологии им.Н.Ф.Гамалеи РАМН ГУ) (RUS),лиофилизат д/пригот. сусп. д/в/к введения 1 мг/20 доз: амп. 5 шт. в компл. с растворителем
ВАКЦИНА ТУБЕРКУЛЕЗНАЯ (БЦЖ),МЕДГАМАЛ (филиал НИИ эпидемиологии и микробиологии им.Н.Ф.Гамалеи РАМН ГУ) (RUS),лиофилизат д/пригот. сусп. д/в/к введения 500 мкг/10 доз: амп. 5 шт. в компл. с растворителем
ВАКЦИНА ТУБЕРКУЛЕЗНАЯ БЦЖ,НПО МИКРОГЕН ФГУП (RUS),лиофилизат д/пригот. сусп. д/в/к введения 500 мкг/10 доз: амп. 5 шт. в компл. с растворителем
ВАКЦИНА ТУБЕРКУЛЕЗНАЯ БЦЖ,АЛЛЕРГЕН (RUS),лиофилизат д/пригот. сусп. д/в/к введения 500 мкг/10 доз: амп. 5 шт. в компл. с растворителем
ВАКЦИНА ТУБЕРКУЛЕЗНАЯ БЦЖ,НПО МИКРОГЕН ФГУП (RUS),лиофилизат д/пригот. сусп. д/в/к введения 1 мг/20 доз: амп. 5 шт. в компл. с растворителем
ВАКЦИНА ТУБЕРКУЛЕЗНАЯ БЦЖ,АЛЛЕРГЕН (RUS),лиофилизат д/пригот. сусп. д/в/к введения 1 мг/20 доз: амп. 5 шт. в компл. с растворителем
