title,man,description
Д-ПАНТЕНОЛ,НИЖФАРМ (RUS),◊ мазь д/наружн. прим. 5% (50 мг/1 г): туба 25 г
Д-ПАНТЕНОЛ,JADRAN Galenski Laboratorij (HOR),◊ мазь д/наружн. прим. 5% (50 мг/1 г): туба 25 г
Д-ПАНТЕНОЛ,НИЖФАРМ (RUS),◊ крем д/наружн. прим. 5% (50 мг/1 г): туба 25 г
Д-ПАНТЕНОЛ,JADRAN Galenski Laboratorij (HOR),◊ крем д/наружн. прим. 5% (50 мг/1 г): туба 25 г
Д.Т.ВАКС,AVENTIS PASTEUR (FRA),сусп. д/инъекц. 25 ед+10 ед/1 доза: шприцы 1 доза 1 шт.
Д.Т.ВАКС,AVENTIS PASTEUR (FRA),сусп. д/инъекц. 25 ед+10 ед/1 доза: фл. 10 доз 1 шт.
ДАЗОЛИК,Sun Pharmaceutical Industries (IND),"таб., покр. оболочкой, 500 мг: 10 или 50 шт."
ДАЙВОБЕТ®,LEO PHARMACEUTICAL PRODUCTS (DNK),"◊ мазь д/наружн. прим. 500 мкг+50 мкг/1 г: тубы 15 г, 30 г или 60 г"
ДАЙВОНЕКС®,LEO PHARMACEUTICAL PRODUCTS (DNK),◊ крем д/наружн. прим. 50 мкг/1 г: тубы 30 г или 100 г
ДАЙВОНЕКС®,LEO Laboratories (IRL),◊ крем д/наружн. прим. 50 мкг/1 г: тубы 30 г или 100 г
ДАЙВОНЕКС®,LEO PHARMACEUTICAL PRODUCTS (DNK),◊ мазь д/наружн. прим. 50 мкг/1 г: тубы 30 г или 100 г
ДАЙВОНЕКС®,LEO Laboratories (IRL),◊ мазь д/наружн. прим. 50 мкг/1 г: тубы 30 г или 100 г
ДАЙВОНЕКС®,LEO PHARMACEUTICAL PRODUCTS (DNK),◊ р-р д/наружн. прим. 50 мкг/1 мл: фл. 60 мл
ДАЙВОНЕКС®,LEO Laboratories (IRL),◊ р-р д/наружн. прим. 50 мкг/1 мл: фл. 60 мл
ДАКАРБАЗИН,Laboratoires THISSEN (BEL),лиоф. порошок д/пригот. р-ра д/инъекц. 100 мг: фл. 10 шт.
ДАКАРБАЗИН,Laboratoires THISSEN (BEL),лиоф. порошок д/пригот. р-ра д/инъекц. 200 мг: фл. 10 шт.
ДАКАРБАЗИН ЛАХЕМА,PLIVA-LACHEMA (CS),лиофилизат д/пригот. р-ра д/в/в введения 100 мг: фл. 10 шт.
ДАКАРБАЗИН ЛАХЕМА,PLIVA-LACHEMA (CS),лиофилизат д/пригот. р-ра д/в/в введения 200 мг: фл. 10 шт.
ДАКАРБАЗИН МЕДАК,medac (DEU),лиофилизат д/пригот. р-ра д/в/в введения 100 мг: фл. 10 шт.
ДАКАРБАЗИН МЕДАК,medac (DEU),лиофилизат д/пригот. р-ра д/в/в введения 200 мг: фл. 10 шт.
ДАКАРБАЗИН МЕДАК,medac (DEU),лиофилизат д/пригот. р-ра д/в/в введения 500 мг: фл. 1 шт.
ДАКАРБАЗИН МЕДАК,medac (DEU),лиофилизат д/пригот. р-ра д/в/в введения 1 г: фл. 1 шт.
ДАКАРБАЗИН-ЛЭНС,ЛЭНС-ФАРМ (RUS),лиофилизат д/пригот. р-ра д/в/в введения 100 мг: фл. 10 шт.
