title,man,description
ЮГЛАНЭКС,НПО ЕВРОПА-БИОФАРМ (RUS),◊ экстракт д/приема внутрь (жидкий): фл. 100 мл
ЮМЕКС,CHINOIN (HUN),таб. 5 мг: 50 шт.
ЮНИГЕКСОЛ®,UNIQUE PHARMACEUTICAL Laboratories (IND),"р-р д/инъекц. 240 мг йода/мл: амп. 20 мл 5 шт., фл. 50 мл или 100 мл 1 шт."
ЮНИГЕКСОЛ®,J.B. Chemicals & Pharmaceuticals (IND),"р-р д/инъекц. 240 мг йода/мл: амп. 20 мл 5 шт., фл. 50 мл или 100 мл 1 шт."
ЮНИГЕКСОЛ®,UNIQUE PHARMACEUTICAL Laboratories (IND),"р-р д/инъекц. 300 мг йода/мл: амп. 20 мл 5 шт., фл. 50 мл или 100 мл 1 шт."
ЮНИГЕКСОЛ®,J.B. Chemicals & Pharmaceuticals (IND),"р-р д/инъекц. 300 мг йода/мл: амп. 20 мл 5 шт., фл. 50 мл или 100 мл 1 шт."
ЮНИГЕКСОЛ®,UNIQUE PHARMACEUTICAL Laboratories (IND),"р-р д/инъекц. 350 мг йода/мл: амп. 20 мл 5 шт., фл. 50 мл или 100 мл 1 шт."
ЮНИГЕКСОЛ®,J.B. Chemicals & Pharmaceuticals (IND),"р-р д/инъекц. 350 мг йода/мл: амп. 20 мл 5 шт., фл. 50 мл или 100 мл 1 шт."
ЮНИДОКС СОЛЮТАБ®,YAMANOUCHI EUROPE (NID),таб. 100 мг: 10 шт.
ЮНИКАП М - НОВАЯ ФОРМУЛА,FERROSAN (DNK),"◊ таб., покр. оболочкой: 30 шт."
ЮНИКАП М - НОВАЯ ФОРМУЛА,PHARMACIA (SWE),"◊ таб., покр. оболочкой: 30 шт."
ЮНИКАП Т - НОВАЯ ФОРМУЛА,FERROSAN (DNK),"◊ таб., покр. оболочкой: 30 шт."
ЮНИКАП Т - НОВАЯ ФОРМУЛА,PHARMACIA (SWE),"◊ таб., покр. оболочкой: 30 шт."
ЮНИКПЕФ®,UNIQUE PHARMACEUTICAL Laboratories (IND),"таб., покр. пленочной оболочкой, 400 мг: 20 или 100 шт."
ЮНИКПЕФ®,J.B. Chemicals & Pharmaceuticals (IND),"таб., покр. пленочной оболочкой, 400 мг: 20 или 100 шт."
ЮНИКПЕФ®,UNIQUE PHARMACEUTICAL Laboratories (IND),р-р д/инф. 400 мг/100 мл: фл. 1 шт.
ЮНИКПЕФ®,J.B. Chemicals & Pharmaceuticals (IND),р-р д/инф. 400 мг/100 мл: фл. 1 шт.
ЮНИСПАЗ®,UNIQUE PHARMACEUTICAL Laboratories (IND),◊ таб. 500 мг+40 мг+8 мг: 12 шт.
ЮНИСПАЗ®,J.B. Chemicals & Pharmaceuticals (IND),◊ таб. 500 мг+40 мг+8 мг: 12 шт.
ЮНИЭНЗИМ® с МПС,ТРАНСАТЛАНТИК ИНТЕРНЕЙШНЛ (RUS),"◊ таб., покр. оболочкой: 20 или 100 шт."
ЮНИЭНЗИМ® с МПС,UNICHEM Laboratories (IND),"◊ таб., покр. оболочкой: 20 или 100 шт."
ЮТИБИД,LUPIN (IND),"таб., покр. пленочной оболочкой, 400 мг: 10 или 60 шт."
