title,man,description
М-КАМ,UNICHEM Laboratories (IND),"таб. 7.5 мг: 10, 20 или 30 шт."
М-КАМ,UNICHEM Laboratories (IND),"таб. 15 мг: 10, 20 или 30 шт."
М-М-Р II,MERCK SHARP & DOHME (NID),лиоф. порошок д/инъекц. 1 доза: фл. 1 или 10 шт. в компл. с растворителем
М-М-Р II,MERCK SHARP & DOHME (NID),лиоф. порошок д/инъекц. 10 доз: фл. 1 шт. в компл. с растворителем
М-ЭСЛОН,GRÜNENTHAL (DEU),"капс. ретард 10 мг: 20, 50 или 100 шт."
М-ЭСЛОН,GRÜNENTHAL (DEU),"капс. ретард 30 мг: 20, 50 или 100 шт."
М-ЭСЛОН,GRÜNENTHAL (DEU),"капс. ретард 60 мг: 20, 50 или 100 шт."
М-ЭСЛОН,GRÜNENTHAL (DEU),"капс. ретард 100 мг: 20, 50 или 100 шт."
МААЛОКС®,RHÔNE-POULENC RORER (FRA),◊ сусп. д/приема внутрь 525 мг+600 мг/15 мл: пакетики 30 шт.
МААЛОКС®,RHÔNE-POULENC RORER (FRA),◊сусп. д/приема внутрь 525 мг +600 мг/15 мл: фл. 250 мл
МААЛОКС®,AVENTIS PHARMA (ITA),◊ таб. жевательные 400 мг+400 мг: 20 или 40 шт.
МААЛОКС®,AVENTIS PHARMA (ITA),◊ сусп. д/приема внутрь 3.5 г + 4 г/100 мл: фл. 250 мл
МААЛОКС®,PHARMATIS (FRA),◊ сусп. д/приема внутрь 525 мг+600 мг/15 мл: пак. 30 шт.
МААЛОКС®,Laboratoire THERAPLIX (FRA),◊ сусп. д/приема внутрь 525 мг+600 мг/15 мл: пак. 30 шт.
МААЛУКОЛ,LaborMed Pharma (RUM),"◊ таб. жевательные 200 мг+200 мг: 20, 30 или 60 шт."
МАБРОН,MEDOCHEMIE (KIP),р-р д/инъекц. 100 мг/2 мл: амп. 5 или 100 шт.
МАБТЕРА®,F.Hoffmann-La Roche (CHE),концентрат д/пригот. р-ра д/инф. 100 мг/10 мл: фл. 2 шт.
МАБТЕРА®,F.Hoffmann-La Roche (CHE),концентрат д/пригот. р-ра д/инф. 500 мг/50 мл: фл. 1 шт.
МАВЕРЕКС,ВЕРОФАРМ (RUS),конц. д/пригот. р-ра д/инф. 10 мг/1 мл: фл. 1 шт.
МАВЕРЕКС,ЛЭНС-ФАРМ (RUS),конц. д/пригот. р-ра д/инф. 10 мг/1 мл: фл. 1 шт.
МАВЕРЕКС,ВЕРОФАРМ (RUS),конц. д/пригот. р-ра д/инф. 50 мг/5 мл: фл. 1 шт.
МАВЕРЕКС,ЛЭНС-ФАРМ (RUS),конц. д/пригот. р-ра д/инф. 50 мг/5 мл: фл. 1 шт.
МАГАЛФИЛ 800,PHILOPHARM QUEDLINBURG (DEU),"◊ таб. д/рассасывания 800 мг: 20, 50 или 100 шт."
МАГНЕ B6®,SANOFI WINTHROP INDUSTRIE (FRA),"◊ таб., покр. оболочкой: 50 шт."
МАГНЕ B6®,SANOFI WINTHROP INDUSTRIE (FRA),◊ р-р д/приема внутрь 10 мл: амп. 10 шт.
МАГНЕВИСТ®,SCHERING (DEU),р-р д/в/в введения 469.01 мг/1 мл: фл. 15 мл или 20 мл
МАГНЕРОТ®,WÖRWAG PHARMA (DEU),◊ таб. 500 мг: 20 или 50 шт.
МАГНЕРОТ®,Mauermann Arzneimittel Franz Mauermann (DEU),◊ таб. 500 мг: 20 или 50 шт.
МАГНИЙ ПЛЮС,NATUR PRODUKT EUROPE (NID),◊ таб. шипучие: 10 шт.
МАГНИЯ СУЛЬФАТ,ВЕРОФАРМ (RUS),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ДАЛЬХИМФАРМ (RUS),р-р д/инъекц. 20% (1 г/5 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ДАЛЬХИМФАРМ (RUS),р-р д/инъекц. 25% (1.25 г/5 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ДАЛЬХИМФАРМ (RUS),р-р д/инъекц. 20% (2 г/10 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ДАЛЬХИМФАРМ (RUS),р-р д/инъекц. 25% (2.5 г/10 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,МОСХИМФАРМПРЕПАРАТЫ им. Н.А.Семашко ОАО (RUS),р-р д/инъекц. 25% (2.5 г/10 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ИММУНОПРЕПАРАТ (RUS),р-р д/инъекц. 25% (2.5 г/10 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ИММУНОПРЕПАРАТ (RUS),р-р д/инъекц. 25% (1.25 г/5 мл): амп. 10 шт.
МАГНИЯ СУЛЬФАТ,БИОСИНТЕЗ (RUS),р-р д/в/в и в/м введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,БИОСИНТЕЗ (RUS),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,БИОТЭК МФПДК (RUS),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,Компания ДЕКО (RUS),р-р д/в/в и в/м введения 25% (1.25 г/5 мл): амп.
МАГНИЯ СУЛЬФАТ,Компания ДЕКО (RUS),р-р д/в/в и в/м введения 25% (2.5 г/10 мл): амп.
МАГНИЯ СУЛЬФАТ,Новосибхимфарм (RUS),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,Новосибхимфарм (RUS),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,НПО МИКРОГЕН ФГУП (RUS),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,НПО МИКРОГЕН ФГУП (RUS),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,ВЕРОФАРМ (RUS),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,MAPICHEM (CHE),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,SISHUI XIERKANG PHARMACEUTICAL (CHI),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,MAPICHEM (CHE),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,SISHUI XIERKANG PHARMACEUTICAL (CHI),р-р д/в/в введения 2.5 г/10 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,БИОСИНТЕЗ (RUS),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,БИОТЭК МФПДК (RUS),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГНИЯ СУЛЬФАТ,МОСКОВСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА (RUS),порошок 20 г: банки
МАГНИЯ СУЛЬФАТ-ДАРНИЦА,ДАРНИЦА ФАРМАЦЕВТИЧЕСКАЯ ФИРМА (UKR),р-р д/в/в введения 1.25 г/5 мл: амп. 10 шт.
МАГУРОЛ,MEDOCHEMIE (KIP),таб. 1 мг: 20 или 100 шт.
