title,man,description
Н-АЦ-РАТИОФАРМ,MERCKLE (DEU),◊ порошок д/пригот. р-ра д/приема внутрь 100 мг/2 г: саше 20 или 50 шт.
Н-АЦ-РАТИОФАРМ,MERCKLE (DEU),◊ порошок д/пригот. р-ра д/приема внутрь 200 мг/2 г: саше 20 или 50 шт.
Н-АЦ-РАТИОФАРМ,MERCKLE (DEU),◊ порошок д/пригот. р-ра д/приема внутрь 600 мг/3 г: саше 20 или 50 шт.
НАВЕЛЬБИН,PIERRE FABRE MEDICAMENT PRODUCTION (FRA),конц. д/пригот. р-ра д/инф. 10 мг/1 мл: фл. 10 шт.
НАВЕЛЬБИН,PIERRE FABRE MEDICAMENT PRODUCTION (FRA),конц. д/пригот. р-ра д/инф. 50 мг/5 мл: фл. 10 шт.
НАВЕЛЬБИН,PIERRE FABRE MEDICAMENT PRODUCTION (FRA),капс. 20 мг: 1 шт.
НАВЕЛЬБИН,PIERRE FABRE MEDICAMENT PRODUCTION (FRA),капс. 30 мг: 1 шт.
НАВИТЕН®,SOLVAY PHARMACEUTICALS (DEU),"таб., покр. оболочкой, 600 мг: 14, 28 или 56 шт."
НАВОБАН®,NOVARTIS PHARMA (CHE),р-р д/в/в введения 5 мг/5 мл: амп. 1 или 10 шт.
НАВОБАН®,NOVARTIS PHARMA STEIN (CHE),р-р д/в/в введения 5 мг/5 мл: амп. 1 или 10 шт.
НАВОБАН®,NOVARTIS PHARMA (CHE),капс. 5 мг: 5 шт.
НАВОБАН®,NOVARTIS FARMACEUTICA (SPN),капс. 5 мг: 5 шт.
НАЗАРЕЛ,IVAX Pharmaceuticals (CS),"спрей назальный дозир. 50 мкг/1 доза: фл. 60, 120 или 150 доз"
НАЗИВИН®,MERCK (DEU),◊ капли назальные 0.01%: фл. 5 мл с крышкой-пипеткой
НАЗИВИН®,MERCK (DEU),◊ капли назальные 0.025%: фл. 10 мл с крышкой-пипеткой
НАЗИВИН®,MERCK (DEU),◊ капли назальные 0.05%: фл. 10 мл с крышкой-пипеткой
НАЗИВИН®,MERCK (DEU),◊ спрей назальный 0.05%: фл. 10 мл с распылителем
НАЗОЛ,"SAGMEL, (USA)",◊ спрей назальный 0.05%: фл. 15 мл или 30 мл
НАЗОЛ,"SAGMEL, (USA)",◊ спрей назальный 0.05%: фл. 15 мл или 30 мл
НАЗОЛ,INSTITUTO de ANGELI (ITA),◊ спрей назальный 0.05%: фл. 15 мл или 30 мл
НАЗОЛ АДВАНС,"SAGMEL, (USA)",◊ спрей назальный 0.05%: фл. 15 мл или 30 мл
НАЗОЛ АДВАНС,INSTITUTO de ANGELI (ITA),◊ спрей назальный 0.05%: фл. 15 мл или 30 мл
НАЗОЛ АДВАНС,"SAGMEL, (USA)",◊ спрей назальный 0.05%: фл. 15 мл или 30 мл
НАЗОЛ БЭБИ,"SAGMEL, (USA)","◊ капли назальные 0.125%: фл. 5 мл, 10 мл, 15 мл или 30 мл"
НАЗОЛ БЭБИ,"SAGMEL, (USA)","◊ капли назальные 0.125%: фл. 5 мл, 10 мл, 15 мл или 30 мл"
НАЗОЛ БЭБИ,INSTITUTO de ANGELI (ITA),"◊ капли назальные 0.125%: фл. 5 мл, 10 мл, 15 мл или 30 мл"
НАЗОЛ КИДС,"SAGMEL, (USA)",◊ спрей назальный д/детей 0.25%: фл. 15 мл или 30 мл
НАЗОНЕКС®,SCHERING-PLOUGH LABO (BEL),спрей назальный 50 мкг/1 доза: фл. 120 доз
НАЙЗ®,DR. REDDY`S LABORATORIES (IND),"таб. диспергируемые 50 мг: 10, 20 или 100 шт."
НАЙЗ®,DR. REDDY`S LABORATORIES (IND),"таб. 100 мг: 10, 20 или 100 шт."
НАЙЗ®,DR. REDDY`S LABORATORIES (IND),сусп. д/приема внутрь 50 мг/5 мл: фл. 60 мл
НАЙЗ®,CHEMINOVA REMEDIS (IND),сусп. д/приема внутрь 50 мг/5 мл: фл. 60 мл
НАЙЗ®,DR. REDDY`S LABORATORIES (IND),◊ гель д/наружн. прим. 1%: тубы 20 г 1 шт.
НАКЛОФЕН,KRKA (SLO),"таб., покр. кишечнорастворимой пленочной обол., 50 мг: 20 шт."
НАКЛОФЕН,KRKA (SLO),р-р д/инъекц. 75 мг/3 мл: амп. 5 шт.
НАКЛОФЕН,KRKA (SLO),суппозитории рект. 50 мг: 10 шт.
НАКЛОФЕН,KRKA (SLO),◊ гель 1%: туба 60 г
НАКЛОФЕН ДУО,KRKA (SLO),капс. 75 мг: 20 шт.
НАКЛОФЕН СР,KRKA (SLO),"таб. пролонгир. действия, покр. пленочной обол., 100 мг: 20 шт."
НАКОМ®,LEK d.d. (SLO),таб. 250 мг+25 мг: 100 шт.
НАКОМ®,MERCK & Co. (USA),таб. 250 мг+25 мг: 100 шт.
НАКСОДЖИН,PHARMACIA ITALIA (ITA),таб. 500 мг: 6 шт.
НАЛБУФИН,МОСХИМФАРМПРЕПАРАТЫ им. Н.А.Семашко ОАО (RUS),р-р д/в/в и в/м введения 10 мг/1 мл: амп. 5 или 10 шт.
НАЛБУФИН,INTERNATIONAL PHARMACEUTICAL SERVISES (USA),р-р д/в/в и в/м введения 10 мг/1 мл: амп. 5 или 10 шт.
