title,man,description
Бальзам маслянный Артро - актив согревающий,Завод экологической техники и экопитания «ДИОД» (RUS),
Бар-ВИПС,ВИПС-МЕД (RUS),порошок д/пригот. сусп. д/приема внутрь 98.942 г: пак. 240 г
Барсучий жир,Фитосила/РеалКапс (RUS),"барсучий жир, масло зародышей пшеницы						"
Барсучий жир,Фитосила/РеалКапс (RUS),натуральный топленый барсучий жир.
Барсучий жир,Фитосила/РеалКапс (RUS),"барсучий жир, масло зародышей пшеницы"
Барсучий жир с медом,Фитосила/РеалКапс (RUS),"Натуральный барсучий жир, мед цветочный, масло зародышей пшеницы						"
Берберис-Гомаккорд,Biologische Heilmittel Heel (DEU),
БиКНУ,BRISTOL-MYERS SQUIBB (ITA),лиофилизат д/пригот. р-ра д/инф. 100 мг: фл. 1 шт. в компл. с растворителем
Био-Макс,ВАЛЕНТА ФАРМАЦЕВТИКА (RUS),"◊ таб., покр. оболочкой: 30 или 60 шт."
Бронхалис-Хель,Biologische Heilmittel Heel (DEU),
БУБО-М,КОМБИОТЕХ НПК (RUS),сусп. д/в/м введения 0.5 мл: амп. 10 шт.
БУДЕНИТ СТЕРИ-НЕБ,IVAX Pharmaceuticals UK LTD (),"Ампулы по 2 мл 0,5мг/мл по 5ампул в блоке"
БУДЕНИТ СТЕРИ-НЕБ,IVAX Pharmaceuticals UK LTD (),"Ампулы  по 2 мл 0,25 мг/мл по 5 ампул в блоке"
БУДЕНОФАЛЬК,Dr. FALK PHARMA (DEU),капс. 3 мг: 20 шт.
БУДЕНОФАЛЬК,LOSAN PHARMA (DEU),капс. 3 мг: 20 шт.
БУДЕСОНИД ИЗИХЕЙЛЕР,ORION CORPORATION ORION PHARMA (FIN),порошок д/ингал. дозированный 200 мкг/1 доза: ингаляторы 200 доз
БУПИКАИН,МАСТЕРЛЕК (RUS),р-р д/инъекц. 100 мг/20 мл: фл. 1 шт.
БУПИКАИН,Фармацевтическая Фирма ЛЕККО (RUS),р-р д/инъекц. 100 мг/20 мл: фл. 1 шт.
БУПРАНАЛ,МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД (RUS),р-р д/инъекц. 300 мкг/1 мл: амп. 5 шт.
