title,man,description
ЛАВАСЕПТ,SOLUPHARM (DEU),концентрат д/пригот. р-ра д/наружн. прим. 200 мг/1 мл: фл. 5 мл 5 шт.
ЛАВАСЕПТ,B.BRAUN MEDICAL (DEU),концентрат д/пригот. р-ра д/наружн. прим. 200 мг/1 мл: фл. 5 мл 5 шт.
ЛАВОМАКС,НИЖФАРМ (RUS),"◊ таб., покр. оболочкой, 125 мг: 6 или 10 шт."
ЛАЕННЕК,JAPAN BIOPRODUCTS INDUSTRY (JPN),р-р д/инъекц. 2 мл: амп. 10 шт.
ЛАЕННЕК,Клиника РАНА (RUS),р-р д/инъекц. 2 мл: амп. 10 шт.
ЛАЗИКС,AVENTIS PHARMA (IND),таб. 40 мг: 50 шт.
ЛАЗИКС,AVENTIS PHARMA (IND),р-р д/инъекц. 20 мг/2 мл: амп. 10 шт.
ЛАЗОЛВАН®,BOEHRINGER INGELHEIM ELLAS (GR),◊ таб. 30 мг: 20 или 50 шт.
ЛАЗОЛВАН®,BOEHRINGER INGELHEIM ELLAS (GR),◊ сироп 15 мг/5 мл: фл. 100 мл
ЛАЗОЛВАН®,BOEHRINGER INGELHEIM ELLAS (GR),◊ сироп 30 мг/5 мл: фл. 100 мл или 250 мл
ЛАЗОЛВАН®,BOEHRINGER INGELHEIM INTERNATIONAL (DEU),◊ р-р д/приема внутрь и ингал. 15 мг/2 мл: фл. 100 мл
ЛАЗОЛВАН®,ISTITUTO de ANGELI (ITA),◊ р-р д/приема внутрь и ингал. 15 мг/2 мл: фл. 100 мл
ЛАЙКОЦИН,DR. REDDY`S LABORATORIES (IND),порошок д/пригот. р-ра д/в/в и в/м введения 1 г: фл. 1 шт.
ЛАЙКОЦИН,LYKA LABS (IND),порошок д/пригот. р-ра д/в/в и в/м введения 1 г: фл. 1 шт.
ЛАЙФФЕРОН®,ВЕКТОР-МЕДИКА (RUS),"лиофилизат д/пригот. р-ра д/в/м, субконъюнктивального введ. и закапывания в глаз 1 млн.МЕ: амп. 5 или 10 шт."
ЛАЙФФЕРОН®,ВЕКТОР-МЕДИКА (RUS),"лиофилизат д/пригот. р-ра д/в/м, субконъюнктивального введ. и закапывания в глаз 3 млн.МЕ: амп. 5 или 10 шт."
ЛАЙФФЕРОН®,ВЕКТОР-МЕДИКА (RUS),"лиофилизат д/пригот. р-ра д/в/м, субконъюнктивального введ. и закапывания в глаз 5 млн.МЕ: амп. 5 или 10 шт."
ЛАЙФФЕРОН®,ВЕКТОР-МЕДИКА (RUS),"лиофилизат д/пригот. р-ра д/в/м, субконъюнктивального введ. и закапывания в глаз 500 тыс.МЕ: амп. 5 или 10 шт."
ЛАКВЕР ЭДАС-121,"Холдинг ""ЭДАС"" (RUS)",Капли по 25 мл во флаконе или флакон-капельнице темного стекла в пачке картонной
ЛАКРИСИН,GALENA (CS),р-р-капли глазные 6 мг/1 мл: фл.-капельн. 10 мл
ЛАКРИСИФИ,S.I.F.I. (ITA),капли глазные 5 мг+100 мкг/1 мл: фл.-капельн. 10 мл 1 шт.
ЛАКРИСИФИ,ZAMBON (ITA),капли глазные 5 мг+100 мкг/1 мл: фл.-капельн. 10 мл 1 шт.
ЛАКСИГАЛ,IVAX Pharmaceuticals (CS),◊ капли д/приема внутрь 7.5 мг/1 мл: фл.-капельн. 10 мл или 25 мл
ЛАКТАСОЛ,КРАСФАРМА (RUS),"р-р д/инф. 200 мл, 400 мл: фл. 1 шт."
ЛАКТОБАКТЕРИН,НПО МИКРОГЕН ФГУП (RUS),◊ супп. вагинальные 10 млн.КОЕ: 10 шт.
ЛАКТУЛОЗА ПОЛИ,POLI INDUSTRIA CHIMICA (ITA),◊сироп 50%: фл. 200 мл
ЛАКТУЛОЗА ПОЛИ,DOPPEL FARMACEUTICI (ITA),◊сироп 50%: фл. 200 мл
ЛАМИЗИЛ®,NOVARTIS CONSUMER HEALTH (CHE),◊ крем д/наружн. прим. 1%: тубы 15 г или 30 г
ЛАМИЗИЛ®,NOVARTIS PHARMA (FRA),◊ спрей д/наружн. прим. 1%: фл. 15 мл или 30 мл
ЛАМИЗИЛ®,NOVARTIS PHARMA SCHWEIZ (CHE),◊ спрей д/наружн. прим. 1%: фл. 15 мл или 30 мл
ЛАМИЗИЛ®,NOVARTIS PHARMA (CHE),"таб. 250 мг: 7, 14 или 28 шт."
ЛАМИЗИЛ®,NOVARTIS PHARMACEUTICALS UK (GBR),"таб. 250 мг: 7, 14 или 28 шт."
ЛАМИЗИЛ®,NOVARTIS PHARMA (FRA),◊ р-р д/наружн. прим. 1%: фл. 30 мл
ЛАМИЗИЛ®,NOVARTIS PHARMA SCHWEIZ (CHE),◊ р-р д/наружн. прим. 1%: фл. 30 мл
ЛАМИЗИЛ® ДЕРМГЕЛЬ,NOVARTIS CONSUMER HEALTH (CHE),◊ гель д/наружн. прим. 1%: туба 15 г
ЛАМИЗИЛ® УНО,NOVARTIS CONSUMER HEALTH (CHE),◊ р-р д/наружн. прим. пленкообразующий 1%: туба 4 г
ЛАМИКАН®,КАНОНФАРМА ПРОДАКШН (RUS),"таб. 125 мг: 7, 10, 14, 20, 21, 28, 30 или 40 шт."
ЛАМИКАН®,КАНОНФАРМА ПРОДАКШН (RUS),"таб. 250 мг: 7, 10, 14, 20, 21, 28, 30 или 40 шт."
ЛАМИКТАЛ,GLAXO WELLCOME OPERATIONS (GBR),таб. 25 мг: 30 шт.
ЛАМИКТАЛ,ГлаксоСмитКляйн Трейдинг (RUS),таб. 25 мг: 30 шт.
ЛАМИКТАЛ,GLAXO WELLCOME OPERATIONS (GBR),таб. 50 мг: 30 шт.
ЛАМИКТАЛ,ГлаксоСмитКляйн Трейдинг (RUS),таб. 50 мг: 30 шт.
ЛАМИКТАЛ,GLAXO WELLCOME OPERATIONS (GBR),таб. 100 мг: 30 шт.
ЛАМИКТАЛ,ГлаксоСмитКляйн Трейдинг (RUS),таб. 100 мг: 30 шт.
