title,man,description
Энгистол®,Biologische Heilmittel Heel (DEU),
ЭсКорди Кор,ACTAVIS GROUP hf. (ISL),таб. 2.5 мг: 30 шт.
ЭсКорди Кор,EMCURE PHARMACEUTICALS (IND),таб. 2.5 мг: 30 шт.
ЭсКорди Кор,ACTAVIS GROUP hf. (ISL),таб. 2.5 мг: 30 шт.
ЭсКорди Кор,EMCURE PHARMACEUTICALS (IND),таб. 2.5 мг: 30 шт.
ЭсКорди Кор,ACTAVIS GROUP hf. (ISL),таб. 5 мг: 30 шт.
ЭсКорди Кор,EMCURE PHARMACEUTICALS (IND),таб. 5 мг: 30 шт.
Эскулюс композитум,Biologische Heilmittel Heel (DEU),
ЭУНОКТИН,GEDEON RICHTER (HUN),таб. 10 мг: 10 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 50 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED (NOR),таб. 50 мкг: 50 или 100 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 75 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED (NOR),таб. 75 мкг: 50 или 100 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 100 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED (NOR),таб. 100 мкг: 50 или 100 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 125 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED (NOR),таб. 125 мкг: 50 или 100 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 150 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED (NOR),таб. 150 мкг: 50 или 100 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 25 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED AUSTRIA (AUT),таб. 25 мкг: 50 или 100 шт.
ЭУТИРОКС®,MERCK (DEU),таб. 25 мкг: 50 или 100 шт.
ЭУТИРОКС®,NYCOMED AUSTRIA (AUT),таб. 25 мкг: 50 или 100 шт.
ЭУФИЛЛИН,ВЕРОФАРМ (RUS),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,ВЕРОФАРМ (RUS),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,ДАЛЬХИМФАРМ (RUS),таб. 150 мг
ЭУФИЛЛИН,ФАРМСИНТЕЗ (RUS),"таб. 150 мг: 10, 20, 30, 50 или 100 шт."
ЭУФИЛЛИН,ФП ОБОЛЕНСКОЕ (RUS),таб. 150 мг: 30 шт.
ЭУФИЛЛИН,Новосибхимфарм (RUS),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,Новосибхимфарм (RUS),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,БОРИСОВСКИЙ ЗАВОД МЕДПРЕПАРАТОВ (BLR),"таб. 150 мг: 10, 20, 30, 40 или 50 шт."
ЭУФИЛЛИН,СИНТЕЗ (RUS),"таб. 150 мг: 10, 20 или 30 шт."
ЭУФИЛЛИН,НПО МИКРОГЕН ФГУП (RUS),р-р д/в/в введения 2.4% 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,НПО МИКРОГЕН ФГУП (RUS),р-р д/в/в введения 2.4% 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,ДАЛЬХИМФАРМ (RUS),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,ДАЛЬХИМФАРМ (RUS),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,БИОСИНТЕЗ (RUS),таб. 150 мг: 30 шт.
ЭУФИЛЛИН,ФАРМСТАНДАРТ-УФИМСКИЙ ВИТАМИННЫЙ ЗАВОД (RUS),р-р д/в/в введения 2.4% 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,ФАРМСТАНДАРТ-УФИМСКИЙ ВИТАМИННЫЙ ЗАВОД (RUS),р-р д/в/в введения 2.4% 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,СИНТЕЗ (RUS),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,СИНТЕЗ (RUS),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,ОБНОВЛЕНИЕ (RUS),таб. 150 мг: 30 шт.
ЭУФИЛЛИН,MAPICHEM (CHE),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,SISHUI XIERKANG PHARMACEUTICAL (CHI),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,MAPICHEM (CHE),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,SISHUI XIERKANG PHARMACEUTICAL (CHI),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,БИОСИНТЕЗ (RUS),р-р д/в/в введения 120 мг/5 мл: амп. 10 шт.
ЭУФИЛЛИН,БИОСИНТЕЗ (RUS),р-р д/в/в введения 240 мг/10 мл: амп. 10 шт.
ЭУФИЛЛИН,АСФАРМА (RUS),таб. 150 мг: 30 шт.
ЭУФИЛЛИН-УБФ,УРАЛБИОФАРМ (RUS),"таб. 150 мг: 10, 20, 25, 30, 40 или 50 шт."
Эуфорбиум композитум Назентропфен С,Biologische Heilmittel Heel (DEU),
ЭФЕВЕЛОН,ACTAVIS hf. (ISL),таб. 25 мг: 30 или 60 шт.
ЭФЕВЕЛОН,ACTAVIS hf. (ISL),таб. 50 мг: 30 или 60 шт.
ЭФЕВЕЛОН®,ACTAVIS hf. (ISL),таб. 37.5 мг: 30 шт.
ЭФЕВЕЛОН®,ACTAVIS hf. (ISL),таб. 75 мг: 30 шт.
ЭФЕКТИН,WYETH MEDICA IRELAND (IRL),таб. 37.5 мг: 56 шт.
ЭФЕКТИН,WYETH MEDICA IRELAND (IRL),таб. 75 мг: 56 шт.
ЭФЕКТИН ДЕПО,WYETH MEDICA IRELAND (IRL),капс. с модифиц. высвобождением 75 мг: 28 шт.
ЭФЕКТИН ДЕПО,WYETH MEDICA IRELAND (IRL),капс. с модифиц. высвобождением 150 мг: 28 шт.
ЭФКАМОН®,НИЖФАРМ (RUS),◊ мазь д/наружн. прим.: тубы 10 г или 25 г
ЭФЛОРАН,KRKA (SLO),таб. 400 мг: 10 шт.
ЭФЛОРАН,KRKA (SLO),р-р д/инф. 500 мг/100 мл: фл. 10 или 70 шт.
ЭФЛОРАН,KRKA (SLO),р-р д/инф. 500 мг/100 мл: фл. 10 шт.
ЭФЛОРАН,КРКА-РУС (RUS),р-р д/инф. 500 мг/100 мл: фл. 10 шт.
ЭФОКС® 20,SCHWARZ PHARMA (DEU),таб. 20 мг: 50 шт.
ЭФОКС® ЛОНГ,SCHWARZ PHARMA (DEU),таб. пролонгир. действия 50 мг: 30 шт.
ЭФОКС® ЛОНГ,SCHWARZ PHARMA PRODUCTIONS (DEU),таб. пролонгир. действия 50 мг: 30 шт.
ЭФОКС® ЛОНГ,SCHWARZ PHARMA (DEU),капс. пролонгир. действия 50 мг: 30 шт.
ЭФОКС® ЛОНГ,SCHWARZ PHARMA PRODUCTIONS (DEU),капс. пролонгир. действия 50 мг: 30 шт.
ЭФФЕРАЛГАН,BRISTOL-MYERS SQUIBB (FRA),◊ суппозитории рект. 80 мг: 10 шт.
ЭФФЕРАЛГАН,BRISTOL-MYERS SQUIBB (FRA),◊ суппозитории рект. 150 мг: 10 шт.
ЭФФЕРАЛГАН,BRISTOL-MYERS SQUIBB (FRA),◊ суппозитории рект. 300 мг: 10 шт.
ЭХИНАЦЕИ НАСТОЙКА,ЭКОЛАБ (RUS),◊ настойка: фл. 50 мл
ЭХИНАЦЕЯ,NATUR PRODUKT EUROPE (NID),◊таб. д/рассасывания 200 мг: 20 шт.
ЭХИНАЦЕЯ,NATUR PRODUKT EUROPE (NID),◊ р-р д/приема внутрь: фл. с капельн. 50 мл
ЭХИНАЦЕЯ,NATUR PRODUKT EUROPE (NID),◊ пастилки 200 мг: 12 или 24 шт.
ЭХИНАЦЕЯ ГЕКСАЛ,HEXAL (DEU),◊ р-р д/приема внутрь: фл. 50 мл
ЭХИНАЦЕЯ ГЕКСАЛ,Dr. RENTSCHLER ARZNEIMITTEL (DEU),◊ р-р д/приема внутрь: фл. 50 мл
ЭХИНАЦЕЯ ГЕКСАЛ,HEXAL (DEU),◊ р-р д/приема внутрь: фл. 100 мл
ЭХИНАЦЕЯ ГЕКСАЛ,Dr. RENTSCHLER ARZNEIMITTEL (DEU),◊ р-р д/приема внутрь: фл. 100 мл
ЭХИНАЦЕЯ ГЕКСАЛ,HEXAL (DEU),◊ р-р д/приема внутрь: фл. 150 мл
ЭХИНАЦЕЯ ГЕКСАЛ,Dr. RENTSCHLER ARZNEIMITTEL (DEU),◊ р-р д/приема внутрь: фл. 150 мл
Эхинацея композитум СН,Biologische Heilmittel Heel (DEU),
ЭХИНАЦЕЯ-ГАЛЕНОФАРМ,Фармацевтическая фабрика Санкт-Петербурга (RUS),◊ настойка: фл. 50 мл или 100 мл
ЭХИНАЦИН ЛИКВИДУМ,MADAUS (DEU),◊ р-р д/приема внутрь: фл. 50 мл
