title,man,description
Лактофильтрум,АВВА РУС (RUS),по 30 или 60 таб
Лактофильтрум–Эко,АВВА РУС (RUS),30 жевательных пастилок со вкусом лесных ягод.
Лактофильтрум–Эко,АВВА РУС (RUS),"по 2,4 г в пакетиках (саше); по 10, 30 или 60 пакетиков "
Лептандра композитум,Biologische Heilmittel Heel (DEU),
Лимфомиозот®,Biologische Heilmittel Heel (DEU),
ЛОВАСТАТИН,ФармФирма СОТЕКС (RUS),таб. 20 мг: 20 шт.
ЛОВАСТАТИН,REPLEKPHARM (MAK),таб. 20 мг: 20 шт.
ЛОВАСТЕРОЛ,POLPHARMA (POL),таб. 20 мг: 30 шт.
ЛОВАСТЕРОЛ,POLPHARMA (POL),таб. 10 мг: 30 шт.
ЛОВАСТЕРОЛ,POLPHARMA (POL),таб. 40 мг: 30 шт.
ЛОВИР,RANBAXY LABORATORIES (IND),таб. диспергируемые 400 мг: 10 или 50 шт.
ЛОВИР,RANBAXY LABORATORIES (IND),таб. диспергируемые 800 мг: 10 или 50 шт.
ЛОГЕСТ®,SCHERING (DEU),драже 20 мкг+75 мкг: 21 шт. в уп. с календарной шкалой
ЛОГЕСТ®,SCHERING (FRA),драже 20 мкг+75 мкг: 21 шт. в уп. с календарной шкалой
ЛОГЕСТ®,DELPHARM LILLE (FRA),драже 20 мкг+75 мкг: 21 шт. в уп. с календарной шкалой
ЛОГИМАКС,ASTRAZENECA (SWE),"таб. пролонгир. действия, покр. оболочкой, 5 мг+47.5 мг: 30 шт."
ЛОДОЗ,NYCOMED (NOR),"таб., покр. оболочкой, 5 мг+6.25 мг: 30, 50 или 100 шт."
ЛОДОЗ,MERCK SANTE (FRA),"таб., покр. оболочкой, 5 мг+6.25 мг: 30, 50 или 100 шт."
ЛОДОЗ,NYCOMED (NOR),"таб., покр. оболочкой, 2.5 мг+6.25 мг: 30, 50 или 100 шт."
ЛОДОЗ,MERCK SANTE (FRA),"таб., покр. оболочкой, 2.5 мг+6.25 мг: 30, 50 или 100 шт."
ЛОДОЗ,NYCOMED (NOR),"таб., покр. оболочкой, 10 мг+6.25 мг: 30, 50 или 100 шт."
ЛОДОЗ,MERCK SANTE (FRA),"таб., покр. оболочкой, 10 мг+6.25 мг: 30, 50 или 100 шт."
ЛОЗАП,ZENTIVA (CS),"таб., покр. оболочкой, 12.5 мг: 30 шт."
ЛОЗАП,ZENTIVA (CS),"таб., покр. оболочкой, 50 мг: 30 шт."
ЛОЗАП ПЛЮС,ZENTIVA (CS),"таб., покр. пленочной обол., 50 мг+12.5 мг: 10, 28, 30 или 90 шт."
ЛОЗАРТАН,OKASA PHARMA (IND),"таб., покр. оболочкой, 50 мг: 30 шт."
ЛОКАЦИД,PIERRE FABRE MEDICAMENT PRODUCTION (FRA),крем 0.05%: туба 30 г
ЛОКАЦИД,PIERRE FABRE MEDICAMENT PRODUCTION (FRA),р-р д/местн. прим. 0.1%: фл. 15 мл
ЛОКОИД®,YAMANOUCHI EUROPE (NID),◊ мазь д/наружн. прим. 0.1%: туба 30 г
ЛОКОИД®,YAMANOUCHI PHARMA (ITA),◊ мазь д/наружн. прим. 0.1%: туба 30 г
ЛОКРЕН®,SANOFI WINTHROP INDUSTRIE (FRA),"таб., покр. оболочкой, делимые, 20 мг: 28 шт."
ЛОКСОН-400,MICRO LABS (IND),"таб., покр. пленочной оболочкой, 400 мг: 10 шт."
ЛОМАГЕРПАН,LOMAPHARM RUDOLF LOHMANN (DEU),◊ крем 50 мг/5 г: туба
ЛОМАК,CIPLA (IND),капс. 20 мг: 14 или 100 шт.
ЛОМАЦИН,WAVE PHARMACEUTICALS (IND),"таб., покр. оболочкой, 400 мг: 5, 10 или 100 шт."
ЛОМЕКОМБ®,Химико-фармацевтический комбинат АКРИХИН (RUS),"таб., покр. оболочкой: 50 или 100 шт."
ЛОМЕКСИН,RECORDATI Industria Chimica e Farmaceutica (ITA),крем вагинальный 20 мг/1 г: туба 30 г
ЛОМЕФЛОКСАЦИН,ФАРМАСИНТЕЗ (RUS),"таб., покр. оболочкой, 400 мг: 5 шт."
ЛОМЕФЛОКСАЦИН,ВАЛЕНТА ФАРМАЦЕВТИКА (RUS),"таб., покр. пленочной обол., 400 мг: 20 шт."
ЛОМИЛАН®,LEK d.d. (SLO),"◊ таб. 10 мг: 7, 10, 20 или 30 шт."
ЛОМИЛАН®,LEK d.d. (SLO),◊ сусп. д/приема внутрь 5 мг/5 мл: фл. 120 мл с дозир. ложкой
ЛОМИР,NOVARTIS FARMA (ITA),таб. 2.5 мг: 28 шт.
ЛОМУСТИН МЕДАК,medac (DEU),капс. 40 мг: 20 шт.
ЛОМФЛОКС®,IPCA LABORATORIES (IND),"таб., покр. пленочной оболочкой, 400 мг: 4, 5, 16, 20 или 25 шт."
ЛОНГИДАЗА®,НПО ПЕТРОВАКС ФАРМ (RUS),"лиофилизат д/пригот. р-ра д/в/м и п/к введения 1500 МЕ: амп., фл. 5 шт."
ЛОНГИДАЗА®,НПО ПЕТРОВАКС ФАРМ (RUS),"лиофилизат д/пригот. р-ра д/в/м и п/к введения 3000 МЕ: амп., фл. 5 шт."
ЛОНГИДАЗА®,НПО ПЕТРОВАКС ФАРМ (RUS),◊ суппозитории д/вагин. или рект. введения 3 тыс.МЕ: 5 шт.
ЛОПЕДИУМ,HEXAL (DEU),"◊ капс. 2 мг: 10, 20, 30 или 50 шт."
ЛОПЕДИУМ,SALUTAS PHARMA (DEU),"◊ капс. 2 мг: 10, 20, 30 или 50 шт."
ЛОПЕДИУМ,HEXAL (DEU),"◊ таб. 2 мг: 10, 20, 30 или 50 шт."
ЛОПЕДИУМ,SALUTAS PHARMA (DEU),"◊ таб. 2 мг: 10, 20, 30 или 50 шт."
ЛОПЕРАМИД,ФП ОБОЛЕНСКОЕ (RUS),◊ капс. 2 мг: 20 шт.
ЛОПЕРАМИД,БИОКОМ (RUS),◊ капс. 2 мг: 20 шт.
ЛОПЕРАМИД,СКОПИНСКИЙ ФАРМ.ЗАВОД (RUS),◊ капс. 2 мг: 20 шт.
ЛОПЕРАМИД,ВЕРОФАРМ (RUS),◊ таб. 2 мг: 10 шт.
ЛОПЕРАМИД,"АПТЕКИ 36,6 (RUS)",◊ таб. 2 мг: 10 шт.
ЛОПЕРАМИД,GRINDEX (LAT),◊ капс. 2 мг: 10 шт.
ЛОПЕРАМИД,ЛЕКХИМ-ХАРЬКОВ (UKR),◊ таб. 2 мг: 10 шт.
ЛОПЕРАМИД,ФП ОБОЛЕНСКОЕ (RUS),◊ капс. 2 мг: 30 шт.
ЛОПЕРАМИД,ОЗОН (RUS),◊ капс. 2 мг: 10 шт.
