title,man,description
ФАЗИЖИН®,PFIZER (BEL),"таб., покр. оболочкой, 500 мг: 4 шт."
ФАЗЛОДЕКС®,ASTRAZENECA UK (GBR),р-р д/в/м инъекц. 250 мг/5 мл: шприц 1 шт. в компл. с иглой и спиртовым тампоном
ФАЗЛОДЕКС®,Vetter Pharma-Fertigung (DEU),р-р д/в/м инъекц. 250 мг/5 мл: шприц 1 шт. в компл. с иглой и спиртовым тампоном
ФАКТИВ,ВЕРОФАРМ (RUS),"таб., покр. оболочкой, 160 мг: 5 или 7 шт."
ФАКТИВ,ВЕРОФАРМ (RUS),"таб., покр. оболочкой, 320 мг: 5 или 7 шт."
ФАКТОР VII (ФАКТОР СВЕРТЫВАНИЯ КРОВИ VII),BAXTER (AUT),лиофилизат д/пригот. р-ра д/в/в введения 600 МЕ: фл. в компл. с растворителем
ФАЛИМИНТ®,BERLIN-CHEMIE AG/MENARINI GROUP (DEU),◊ драже 25 мг: 20 шт.
ФАЛИМИНТ®,БЕРЛИН-ФАРМА (RUS),◊ драже 25 мг: 20 шт.
ФАМВИР,NOVARTIS PHARMA (DEU),"таб., покр. оболочкой, 250 мг: 15, 21 или 56 шт."
ФАМВИР,SmithKline Beecham Pharmaceuticals (GBR),"таб., покр. оболочкой, 250 мг: 15, 21 или 56 шт."
ФАМВИР,NOVARTIS PHARMA (CHE),"таб., покр. оболочкой, 250 мг: 7, 10, 14, 20, 21, 28, 30 или 40 шт."
ФАМВИР,NOVARTIS FARMACEUTICA (SPN),"таб., покр. оболочкой, 250 мг: 7, 10, 14, 20, 21, 28, 30 или 40 шт."
ФАМВИР,NOVARTIS PHARMA (CHE),"таб., покр. оболочкой, 125 мг: 7, 10, 14, 20, 21, 28, 30 или 40 шт."
ФАМВИР,NOVARTIS FARMACEUTICA (SPN),"таб., покр. оболочкой, 125 мг: 7, 10, 14, 20, 21, 28, 30 или 40 шт."
ФАМВИР,NOVARTIS PHARMA (CHE),"таб., покр. оболочкой, 500 мг: 3, 6, 7, 9, 10, 12, 14, 20, 21, 28, 30 или 40 шт."
ФАМВИР,NOVARTIS FARMACEUTICA (SPN),"таб., покр. оболочкой, 500 мг: 3, 6, 7, 9, 10, 12, 14, 20, 21, 28, 30 или 40 шт."
ФАМОСАН®,PRO.MED.CS Praha (CS),"таб., покр. оболочкой, 20 мг: 20 шт."
ФАМОСАН®,PRO.MED.CS Praha (CS),"таб., покр. оболочкой, 40 мг: 10 шт."
ФАМОТИДИН,HEMOFARM KONCERN (UGS),"таб., покр. пленочной обол., 20 мг: 20 или 30 шт."
ФАМОТИДИН,HEMOFARM KONCERN (UGS),"таб., покр. пленочной обол., 40 мг: 20 или 30 шт."
ФАМОТИДИН,ALKALOID (MAK),"таб., покр. оболочкой, 40 мг: 20 шт."
ФАМОТИДИН,МАКИЗ-ФАРМА (RUS),"таб., покр. оболочкой, 20 мг: 10, 20 или 30 шт."
ФАМОТИДИН,МАКИЗ-ФАРМА (RUS),"таб., покр. оболочкой, 40 мг: 10, 20 или 30 шт."
ФАМОТИДИН,ЗИО-ЗДОРОВЬЕ (RUS),"таб., покр. оболочкой, 20 мг: 20, 30, 50 или 100 шт."
ФАМОТИДИН,БИОКОМ (RUS),"таб., покр. оболочкой, 20 мг: 10, 20 или 30 шт."
ФАМОТИДИН,БИОКОМ (RUS),"таб., покр. оболочкой, 40 мг: 10, 20 или 30 шт."
ФАМОТИДИН,ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА (RUS),"таб., покр. оболочкой, 20 мг: 20, 30, 40 или 60 шт."
ФАМОТИДИН,ОЗОН (RUS),"таб., покр. оболочкой, 20 мг: 30 шт."
ФАМОТИДИН,ОЗОН (RUS),"таб., покр. оболочкой, 40 мг: 30 шт."
ФАМОТИДИН,ALKALOID (MAK),"таб., покр. оболочкой, 20 мг: 20 шт."
ФАМОТИДИН-АКОС,СИНТЕЗ (RUS),"таб., покр. оболочкой, 20 мг: 20 шт."
ФАМОТИДИН-АКОС,СИНТЕЗ (RUS),"таб., покр. оболочкой, 40 мг: 10 или 20 шт."
ФАМОТИДИН-АКРИ®,Химико-фармацевтический комбинат АКРИХИН (RUS),"таб., покр. оболочкой, 20 мг: 20 шт."
ФАМУЛАН®,RICHARD BITTNER (AUT),"◊ капли д/приема внутрь 20 мл, 50 мл или 100 мл: фл.-капельницы"
ФАРЕСТОН,ORION CORPORATION (FIN),"таб. 20 мг: 30, 60 или 100 шт."
ФАРЕСТОН,ORION CORPORATION (FIN),"таб. 60 мг: 30, 60 или 100 шт."
ФАРИНГОСЕПТ,RANBAXY LABORATORIES Ltd/S.C. TERAPIA S.A. (IND),Амбазон : 20 шт
ФАРИНГОСЕПТ ЛИМОН,RANBAXY LABORATORIES Ltd/S.C. TERAPIA S.A. (IND),Амбазон : 20 шт. со вкус лимона
ФАРИНГОСЕПТ®,RANBAXY LABORATORIES Ltd/S.C. TERAPIA S.A. (IND),Амбазон : 10 шт
ФАРИНГОСЕПТ® ЛИМОН,RANBAXY LABORATORIES Ltd/S.C. TERAPIA S.A. (IND),Амбазон : 10 шт. со вкус лимона
ФАРМАЗОЛИН,ФАРМАК (UKR),◊ спрей назальный 0.1%: фл. 10 мл или 15 мл
