title,man,description
САБ® СИМПЛЕКС,PFIZER (FRA),◊ сусп. д/приема внутрь 69.19 мг/1 мл: фл. 30 мл
САБЕЛЬНИКА НАСТОЙКА,ЭВАЛАР (RUS),◊настойка (1:10): фл. 25 мл
САБЕЛЬНИКА НАСТОЙКА,ЭВАЛАР (RUS),◊настойка (1:10): фл. 50 мл
САБЕЛЬНИКА НАСТОЙКА,ЭВАЛАР (RUS),◊настойка (1:10): фл. 100 мл
САГЕНИТ,НИЖФАРМ (RUS),таб. 100 мг: 10 или 20 шт.
САЙЗЕН®,INDUSTRIA FARMACEUTICA SERONO (ITA),лиофилизат д/пригот. р-ра д/п/к введения 8 мг: фл. в компл. с растворителем в картридже и устройством д/пригот. р-ра
САЙТОТЕК,SEARLE division of Monsanto (GBR),таб. 200 мкг: 20 шт.
САКУР,ФП ОБОЛЕНСКОЕ (RUS),"таб., покр. оболочкой, 2 мг: 7 шт."
САКУР,ФП ОБОЛЕНСКОЕ (RUS),"таб., покр. оболочкой, 4 мг: 7 шт."
САЛАМОЛ ЭКО,NORTON WATERFORD (IRL),аэрозоль д/ингал. дозированный 100 мкг/1 доза: баллон 200 доз
САЛАМОЛ ЭКО ЛЕГКОЕ ДЫХАНИЕ,NORTON WATERFORD (IRL),"аэрозоль д/ингал. дозированный, активируемый вдохом, 100 мкг/1 доза: баллон 200 доз"
САЛВИСАР,БИОХИМИК (RUS),◊ мазь д/наружн. прим.: туба 25 г
САЛИН,"SAGMEL, (USA)",◊ спрей назальный 0.65%: фл. 44 мл
САЛИН,"SAGMEL, (USA)",◊ спрей назальный 0.65%: фл. 30 мл
САЛИН,INSTITUTO de ANGELI (ITA),◊ спрей назальный 0.65%: фл. 30 мл
САЛИЦИЛОВАЯ КИСЛОТА,ВАТХЭМ-ФАРМАЦИЯ (RUS),◊ р-р д/наружн. прим. спиртовой 1%: фл. 40 мл
САЛИЦИЛОВАЯ КИСЛОТА,ЭКОЛАБ (RUS),◊ р-р д/наружн. прим. спиртовой 1%: фл. 25 мл или 40 мл
САЛИЦИЛОВАЯ КИСЛОТА,ЭКОЛАБ (RUS),◊ р-р д/наружн. прим. спиртовой 2%: фл. 25 мл или 40 мл
САЛИЦИЛОВАЯ КИСЛОТА,РОСТОВСКАЯ ФАРМФАБРИКА (RUS),◊ р-р д/наружн. прим. спиртовой 1%: фл. 25 мл или 40 мл
САЛИЦИЛОВАЯ КИСЛОТА,РОСТОВСКАЯ ФАРМФАБРИКА (RUS),◊ р-р д/наружн. прим. спиртовой 2%: фл. 25 мл или 40 мл
САЛИЦИЛОВАЯ КИСЛОТА,ЙОДНЫЕ ТЕХНОЛОГИИ И МАРКЕТИНГ (RUS),"◊ р-р д/наружн. прим. спиртовой 1%: фл. 25 мл, 40 мл или 100 мл"
САЛИЦИЛОВАЯ КИСЛОТА,ЙОДНЫЕ ТЕХНОЛОГИИ И МАРКЕТИНГ (RUS),"◊ р-р д/наружн. прим. спиртовой 2%: фл. 25 мл, 40 мл или 100 мл"
САЛИЦИЛОВАЯ МАЗЬ,ФАРМСТАНДАРТ-ФИТОФАРМ-НН (RUS),◊ мазь д/наружн. прим. 2%: банка 25 г
САЛИЦИЛОВАЯ МАЗЬ,ФАРМСТАНДАРТ-ФИТОФАРМ-НН (RUS),◊ мазь д/наружн. прим. 5%: банка 25 г
САЛИЦИЛОВО-ЦИНКОВАЯ ПАСТА,ФАРМСТАНДАРТ-ФИТОФАРМ-НН (RUS),◊ паста д/наружн. прим. 20 мг+250 мг/1 г: банка 25 г
САЛИЦИЛОВО-ЦИНКОВАЯ ПАСТА,СИНТЕЗ (RUS),◊ паста д/наружн. прим. 20 мг+250 мг/1 г: банки 25 г или 50 г
САЛОФАЛЬК,Dr. FALK PHARMA (DEU),"таб., покр. кишечнорастворимой пленочной обол., 250 мг: 100 шт."
САЛОФАЛЬК,Dr. FALK PHARMA (DEU),"таб., покр. кишечнорастворимой пленочной обол., 500 мг: 100шт."
САЛОФАЛЬК,Dr. FALK PHARMA (DEU),супп. ректальные 500 мг: 10шт.
САЛОФАЛЬК,Dr. FALK PHARMA (DEU),супп. ректальные 250 мг: 10 шт.
САЛОФАЛЬК,Dr. FALK PHARMA (DEU),сусп. ректальная 2 г/30 мл: фл. 7 шт.
САЛОФАЛЬК,Dr. FALK PHARMA (DEU),сусп. ректальная 4 г/60 мл: фл. 7 шт.
САЛЬБЕН®,ПУЛЬМОМЕД (RUS),"порошок д/ингал. 200 мкг/1 доза: ингаляторы ""Циклохалер"" 100 доз или 200 доз"
САЛЬБУТАМОЛ,АЛТАЙВИТАМИНЫ (RUS),аэрозоль д/ингал. дозированный 100 мкг/1 доза: баллон 12 мл
САЛЬБУТАМОЛ,МОСХИМФАРМПРЕПАРАТЫ им. Н.А.Семашко ОАО (RUS),аэрозоль д/ингал. дозированный 100 мкг/1 доза: баллон 90 доз
САЛЬВАРОМ (Сбор для ингаляций №1),Ст.-МЕДИФАРМ (RUS),"◊ сбор растит. - сырье измельченное: пачки 20 г, 30 г, 40 г, 50 г или 100 г"
САЛЬВАРОМ (Сбор для ингаляций №1),Ст.-МЕДИФАРМ (RUS),◊ сбор растит. - порошок 1.5 г: фильтр-пак. 10 шт.
САЛЬГИМ®,ПУЛЬМОМЕД (RUS),"р-р д/ингал. 0.1%: фл. 2.5 мл, 5 мл, 10 мл или 50 мл"
САЛЬГИМ®,ПУЛЬМОМЕД (RUS),"порошок д/ингал. 250 мкг/1 доза: ингаляторы ""Циклохалер"" 100 доз или 200 доз"
САЛЬГИМ®,ПУЛЬМОМЕД (RUS),таб. 4 мг: 50 шт.
САЛЬТОС®,ПУЛЬМОМЕД (RUS),"таб., покр. оболочкой пролонгир. действия, 7.23 мг: 30 шт."
САМЕЗИЛ,KRKA (SLO),"таб., покр. кишечнорастворимой оболочкой, 400 мг: 50 или 100 шт."
САМЕЗИЛ,KRKA (SLO),"таб., покр. кишечнорастворимой оболочкой, 800 мг: 50 или 100 шт."
САМЕЗИЛ,KRKA (SLO),сусп. ректальная 2 г/50 мл: контейнеры 7 шт. в компл. с аппликатором
САМЕЗИЛ,KRKA (SLO),сусп. ректальная 4 г/100 мл: контейнеры 7 шт. в компл. с аппликатором
САМЕЗИЛ,KRKA (SLO),суппозитории ректальные 500 мг: 30 шт.
САНА-СОЛ® - Поливитаминный комплекс,NYCOMED PHARMA (NOR),◊ сироп: фл. 250 мл
САНАСОН ЛЕК,LEK d.d. (SLO),"◊ таб., покр. оболочкой, 60 мг+100 мг: 20 шт."
САНВАЛ®,LEK d.d. (SLO),"таб., покр. оболочкой, 5 мг: 20 шт."
САНВАЛ®,LEK d.d. (SLO),"таб., покр. оболочкой, 10 мг: 10 или 20 шт."
САНГВИРИТРИН,ПЭЗ ВИЛАР (RUS),"◊ таб., покр. кишечнорастворимой обол., 2.5 мг+2.5 мг: 30 шт."
САНГВИРИТРИН,ПЭЗ ВИЛАР (RUS),◊ линимент 2.5 мг+2.5 мг/1 г: банка 20 г
САНГВИРИТРИН,ПЭЗ ВИЛАР (RUS),◊ линимент 2.5 мг+2.5 мг/1 г: банка 20 г
САНГВИРИТРИН,ПЭЗ ВИЛАР (RUS),"◊ р-р д/наружн. и местн. прим. (спиртовой) 0.2%: фл. 10 мл, 25 мл или 50 мл"
САНГВИРИТРИН,ПЭЗ ВИЛАР (RUS),"◊ р-р д/наружн. и местн. прим. (спиртовой) 0.2%: фл. 10 мл, 25 мл или 50 мл"
САНДИММУН®,NOVARTIS PHARMA (CHE),конц. д/пригот. р-ра д/инф. 50 мг/1 мл: амп. 10 шт.
САНДИММУН® НЕОРАЛ®,NOVARTIS PHARMA (CHE),капс. мягкие 10 мг: 60 шт.
САНДИММУН® НЕОРАЛ®,R.P.SCHERER (DEU),капс. мягкие 10 мг: 60 шт.
САНДИММУН® НЕОРАЛ®,NOVARTIS PHARMA (CHE),капс. мягкие 25 мг: 50 шт.
САНДИММУН® НЕОРАЛ®,R.P.SCHERER (DEU),капс. мягкие 25 мг: 50 шт.
САНДИММУН® НЕОРАЛ®,NOVARTIS PHARMA (CHE),капс. мягкие 50 мг: 50 шт.
САНДИММУН® НЕОРАЛ®,R.P.SCHERER (DEU),капс. мягкие 50 мг: 50 шт.
САНДИММУН® НЕОРАЛ®,NOVARTIS PHARMA (CHE),капс. мягкие 100 мг: 50 шт.
САНДИММУН® НЕОРАЛ®,R.P.SCHERER (DEU),капс. мягкие 100 мг: 50 шт.
САНДИММУН® НЕОРАЛ®,NOVARTIS PHARMA (FRA),р-р д/приема внутрь 100 мг/1 мл: фл. 50 мл
САНДИММУН® НЕОРАЛ®,NOVARTIS PHARMA (CHE),р-р д/приема внутрь 100 мг/1 мл: фл. 50 мл
САНДОСТАТИН®,NOVARTIS PHARMA (CHE),р-р д/в/в и п/к введения 50 мкг/1 мл: амп. 5 шт.
САНДОСТАТИН®,NOVARTIS PHARMA STEIN (CHE),р-р д/в/в и п/к введения 50 мкг/1 мл: амп. 5 шт.
САНДОСТАТИН®,NOVARTIS PHARMA (CHE),р-р д/в/в и п/к введения 100 мкг/1 мл: амп. 5 шт.
САНДОСТАТИН®,NOVARTIS PHARMA STEIN (CHE),р-р д/в/в и п/к введения 100 мкг/1 мл: амп. 5 шт.
САНДОСТАТИН®,NOVARTIS PHARMA (CHE),р-р д/в/в и п/к введения 500 мкг/1 мл: амп. 5 шт.
САНДОСТАТИН®,NOVARTIS PHARMA STEIN (CHE),р-р д/в/в и п/к введения 500 мкг/1 мл: амп. 5 шт.
САНДОСТАТИН® ЛАР,NOVARTIS PHARMA (CHE),микросферы д/пригот. сусп. д/в/м введения 10 мг: фл. 1 шт. в компл. с растворителем (шприцы 2.5 мл - 1 шт.) и иглами 2 шт.
САНДОСТАТИН® ЛАР,SANDOZ (AUT),микросферы д/пригот. сусп. д/в/м введения 10 мг: фл. 1 шт. в компл. с растворителем (шприцы 2.5 мл - 1 шт.) и иглами 2 шт.
САНДОСТАТИН® ЛАР,NOVARTIS PHARMA (CHE),микросферы д/пригот. сусп. д/в/м введения 20 мг: фл. 1 шт. в компл. с растворителем (шприцы 2.5 мл - 1 шт.) и иглами 2 шт.
САНДОСТАТИН® ЛАР,SANDOZ (AUT),микросферы д/пригот. сусп. д/в/м введения 20 мг: фл. 1 шт. в компл. с растворителем (шприцы 2.5 мл - 1 шт.) и иглами 2 шт.
САНДОСТАТИН® ЛАР,NOVARTIS PHARMA (CHE),микросферы д/пригот. сусп. д/в/м введения 30 мг: фл. 1 шт. в компл. с растворителем (шприцы 2.5 мл - 1 шт.) и иглами 2 шт.
САНДОСТАТИН® ЛАР,SANDOZ (AUT),микросферы д/пригот. сусп. д/в/м введения 30 мг: фл. 1 шт. в компл. с растворителем (шприцы 2.5 мл - 1 шт.) и иглами 2 шт.
САНОРИН,IVAX Pharmaceuticals (CS),◊ капли назальн. 0.05%: фл. 10 мл с капельницей
САНОРИН,IVAX Pharmaceuticals (CS),◊ спрей назальный 0.1%: фл. 10 мл
САНОРИН,IVAX Pharmaceuticals (CS),◊ капли назальн. 0.1% (с эвкалиптовым маслом): фл. 10 мл с капельницей
САНОРИН,IVAX Pharmaceuticals (CS),◊ капли назальн. 0.1%: фл. 10 мл с капельницей
САНОРИН-АНАЛЕРГИН,IVAX-CR (CS),◊ капли назальные и глазные 250 мкг+5 мг/1 мл: фл. 10 мл
САНОРИНЧИК,IVAX Pharmaceuticals (CS),◊ капли назальные д/детей 100 мкг/1 мл: фл. 10 мл с пипеткой
САНОРИНЧИК,IVAX Pharmaceuticals (CS),◊ капли назальные д/детей 250 мкг/1 мл: фл. 10 мл с пипеткой
САНОРИНЧИК,IVAX Pharmaceuticals (CS),◊ капли назальные 500 мкг/1 мл: фл. 10 мл с пипеткой
САНОРИНЧИК,IVAX Pharmaceuticals (CS),◊ спрей назальный 500 мкг/1 мл: фл. 10 мл с распылителем
САНПРАЗ,Sun Pharmaceutical Industries (IND),"таб., покр. кишечнорастворимой обол., 40 мг: 10, 20 или 30 шт."
САНТОПЕРАЛГИН,ХИМФАРМ (KAZ),таб. 10 или 20 шт.
САНТОТИТРАЛГИН,ХИМФАРМ (KAZ),◊ таб. 10 шт.
САРИДОН®,BAYER CONSUMER CARE (CHE),◊ таб. 250 мг+150 мг+50 мг: 10 шт.
САРИДОН®,BAYER SANTE FAMIALE (FRA),◊ таб. 250 мг+150 мг+50 мг: 10 шт.
САРКОЛИЗИН,ФИРМА ГЛЕС (RUS),лиофилизат д/пригот. р-ра д/инъекц. 20 мг: фл. 5 шт.
САРОТЕН РЕТАРД,H.LUNDBECK (DNK),капс. 50 мг: 30 шт.
САФОЦИД,МАКИЗ-ФАРМА (RUS),"набор таблеток трех видов: 4 шт., в т.ч.: таб. флуконазола 150 мг: 1 шт.; таб. азитромицина, покр. оболочкой, 1 г: 1 шт.; таб. секнидазола, покр. оболочкой, 1 г: 2 шт."
САФОЦИД,LYKA LABS (IND),"набор таблеток трех видов: 4 шт., в т.ч.: таб. флуконазола 150 мг: 1 шт.; таб. азитромицина, покр. оболочкой, 1 г: 1 шт.; таб. секнидазола, покр. оболочкой, 1 г: 2 шт."
"СВЕЖАЯ НОТА салфетки влажные детские №70 со стикером ""Всегда на PoiskLekarstv.ru""",ЗетТек (RUS),Пропитка: гипоаллергенный очищающий лосьон
"СВЕЖАЯ НОТА салфетки влажные Цветочная сюита №10 со стикером ""Всегда на PoiskLekarstv.ru""",ЗетТек (RUS),Пропитка: мягкий очищающий увлажняющий лосьон
СВЕФЕРОН,НПО МИКРОГЕН ФГУП (RUS),суппозитории рект. 40 тыс.МЕ: 5 или 10 шт.
СВЕЧИ С ИХТИОЛОМ,НИЖФАРМ (RUS),◊ суппозитории рект. 200 мг: 10 шт.
СЕБИВО,NOVARTIS PHARMA (CHE),"таб., покр. пленочной обол., 600 мг: 28 шт."
СЕБИВО,NOVARTIS PHARMA STEIN (CHE),"таб., покр. пленочной обол., 600 мг: 28 шт."
СЕБИДИН,GlaxoSmithKline Pharmaceuticals (POL),таб. д/рассасывания 5 мг+50 мг: 20 шт.
СЕБИДИН,ГлаксоСмитКляйн Трейдинг (RUS),таб. д/рассасывания 5 мг+50 мг: 20 шт.
СЕБОЗОЛ,МУРОМСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД (RUS),◊ мазь д/наружн. прим. 2%: туба 15 г
СЕВОРАН,ABBOTT LABORATORIES (GBR),жидкость д/ингал. 100 мл: фл.
СЕВОРАН,ABBOTT LABORATORIES (GBR),жидкость д/ингал. 250 мл: фл.
СЕГИДРИН®,ФАРМСИНТЕЗ (RUS),"таб., покр. кишечнорастворимой оболочкой, 60 мг: 50 шт."
СЕДАКОРОН®,EBEWE PHARMA (AUT),таб. 200 мг: 50 шт.
